"normalized_text","expected_text","usage_count","suggested_audio_key","source_page_ids","source_sections","surface_types"
"cho tôi xuống ở biển mỹ khê","Cho tôi xuống ở biển Mỹ Khê","1","audio-authored-cho-toi-xuong-o-bien-my-khe-52e6403861","viet-family-city-danang-get-off-my-khe","hero","hero"
"cho tôi xuống ở cầu trường tiền","Cho tôi xuống ở cầu Trường Tiền","1","audio-authored-cho-toi-xuong-o-cau-truong-tien-ee1ae68d51","viet-family-city-hue-get-off-truong-tien","hero","hero"
"cho tôi xuống ở hồ hoàn kiếm","Cho tôi xuống ở hồ Hoàn Kiếm","1","audio-authored-cho-toi-xuong-o-ho-hoan-kiem-5c6e0f02d9","viet-family-city-hanoi-atm-hoan-kiem-lake","when-to-use","phrase"
"cho tôi xuống ở quận 1","Cho tôi xuống ở Quận 1","1","audio-authored-cho-toi-xuong-o-quan-1-2bf9b4bc65","viet-family-city-hcmc-atm-district-1","when-to-use","phrase"
"chùa cầu","Chùa Cầu","1","audio-authored-chua-cau-1a150570a2","viet-family-city-hoian-go-japanese-bridge","place-anchor","phrase"
"chùa cầu gần đây không?","Chùa Cầu gần đây không?","1","audio-authored-chua-cau-gan-day-khong-4eacc8214b","viet-family-city-hoian-go-japanese-bridge","when-to-use","phrase"
"chùa cầu ở đâu?","Chùa Cầu ở đâu?","1","audio-authored-chua-cau-o-dau-d5c7ec19fd","viet-family-city-hoian-go-japanese-bridge","when-to-use","phrase"
"chùa linh ứng","Chùa Linh Ứng","1","audio-authored-chua-linh-ung-703e8f3b92","viet-family-city-danang-atm-linh-ung-pagoda","place-anchor","phrase"
"chùa linh ứng ở đâu?","Chùa Linh Ứng ở đâu?","1","audio-authored-chua-linh-ung-o-dau-03317f605a","viet-family-city-danang-atm-linh-ung-pagoda","when-to-use","phrase"
"chùa ngọc hoàng","Chùa Ngọc Hoàng","1","audio-authored-chua-ngoc-hoang-44ffea01a3","viet-family-city-hcmc-go-jade-emperor-pagoda","place-anchor","phrase"
"chùa ngọc hoàng ở đâu?","Chùa Ngọc Hoàng ở đâu?","1","audio-authored-chua-ngoc-hoang-o-dau-e5f739e803","viet-family-city-hcmc-go-jade-emperor-pagoda","when-to-use","phrase"
"chùa thiên mụ","Chùa Thiên Mụ","1","audio-authored-chua-thien-mu-701da3ec1f","viet-family-city-hue-go-thien-mu","place-anchor","phrase"
"chùa thiên mụ ở đâu?","Chùa Thiên Mụ ở đâu?","1","audio-authored-chua-thien-mu-o-dau-1f11913725","viet-family-city-hue-go-thien-mu","when-to-use","phrase"
"chùa trấn quốc","Chùa Trấn Quốc","1","audio-authored-chua-tran-quoc-cfe2d77d7b","viet-family-city-hanoi-go-tran-quoc-pagoda","place-anchor","phrase"
"chùa trấn quốc ở đâu?","Chùa Trấn Quốc ở đâu?","1","audio-authored-chua-tran-quoc-o-dau-f5506d41ba","viet-family-city-hanoi-go-tran-quoc-pagoda","when-to-use","phrase"
"chùa từ hiếu","Chùa Từ Hiếu","1","audio-authored-chua-tu-hieu-d2a26763e6","viet-family-city-hue-go-tu-hieu-pagoda","place-anchor","phrase"
"có atm gần anăn sài gòn không?","Có ATM gần Anăn Sài Gòn không?","1","audio-authored-co-atm-gan-anan-sai-gon-khong-9cadb0e555","viet-family-city-hcmc-atm-anan-saigon","hero","hero"
"có atm gần bà nà hills không?","Có ATM gần Bà Nà Hills không?","1","audio-authored-co-atm-gan-ba-na-hills-khong-2a0d31c6c2","viet-family-city-danang-atm-ba-na-hills","hero","hero"
"có atm gần bánh mì phượng không?","Có ATM gần Bánh mì Phượng không?","1","audio-authored-co-atm-gan-banh-mi-phuong-khong-15a4d387fc","viet-family-city-hoian-atm-banh-mi-phuong","hero","hero"
"có atm gần bảo tàng dân tộc học không?","Có ATM gần Bảo tàng Dân tộc học không?","1","audio-authored-co-atm-gan-bao-tang-dan-toc-hoc-khong-a4b73e2e74","viet-family-city-hanoi-atm-ethnology-museum","hero","hero"
"có atm gần bảo tàng điêu khắc chăm không?","Có ATM gần Bảo tàng Điêu khắc Chăm không?","1","audio-authored-co-atm-gan-bao-tang-dieu-khac-cham-khong-e0707560f7","viet-family-city-danang-atm-cham-museum","hero","hero"
"có atm gần bảo tàng mỹ thuật không?","Có ATM gần Bảo tàng Mỹ thuật không?","1","audio-authored-co-atm-gan-bao-tang-my-thuat-khong-785e6d9149","viet-family-city-hcmc-atm-fine-arts-museum","hero","hero"
"có atm gần bến bạch đằng không?","Có ATM gần Bến Bạch Đằng không?","1","audio-authored-co-atm-gan-ben-bach-dang-khong-b30cac181d","viet-family-city-hcmc-atm-bach-dang-wharf","hero","hero"
"có atm gần biển an bàng không?","Có ATM gần Biển An Bàng không?","1","audio-authored-co-atm-gan-bien-an-bang-khong-a9404f64e1","viet-family-city-hoian-atm-an-bang-beach","hero","hero"
"có atm gần biển cửa đại không?","Có ATM gần Biển Cửa Đại không?","1","audio-authored-co-atm-gan-bien-cua-dai-khong-631d6df778","viet-family-city-hoian-atm-cua-dai-beach","hero","hero"
"có atm gần bún bò huế không?","Có ATM gần Bún bò Huế không?","1","audio-authored-co-atm-gan-bun-bo-hue-khong-c1f6876f33","viet-family-city-hue-atm-bun-bo-city","hero","hero"
"có atm gần bún bò ở chợ đông ba không?","Có ATM gần Bún bò ở chợ Đông Ba không?","1","audio-authored-co-atm-gan-bun-bo-o-cho-dong-ba-khong-025b3e7902","viet-family-city-hue-atm-dong-ba-bun-bo","hero","hero"
"có atm gần bún chả hương liên không?","Có ATM gần Bún chả Hương Liên không?","1","audio-authored-co-atm-gan-bun-cha-huong-lien-khong-c66ead5b07","viet-family-city-hanoi-atm-bun-cha-huong-lien","hero","hero"
"có atm gần bưu điện thành phố không?","Có ATM gần Bưu điện Thành phố không?","1","audio-authored-co-atm-gan-buu-dien-thanh-pho-khong-9c4a3814fc","viet-family-city-hcmc-atm-central-post-office","hero","hero"
"có atm gần cà phê giảng không?","Có ATM gần Cà phê Giảng không?","1","audio-authored-co-atm-gan-ca-phe-giang-khong-f7a28c8608","viet-family-city-hanoi-atm-giang-cafe","hero","hero"
"có atm gần cẩm châu không?","Có ATM gần Cẩm Châu không?","1","audio-authored-co-atm-gan-cam-chau-khong-f04e7a1395","viet-family-city-hoian-atm-cam-chau","hero","hero"
"có atm gần cẩm nam không?","Có ATM gần Cẩm Nam không?","1","audio-authored-co-atm-gan-cam-nam-khong-bb1e23749e","viet-family-city-hoian-atm-cam-nam","hero","hero"
"có atm gần cao lầu ở hội an không?","Có ATM gần Cao lầu ở Hội An không?","1","audio-authored-co-atm-gan-cao-lau-o-hoi-an-khong-c065c9c79f","viet-family-city-hoian-atm-cao-lau-city","hero","hero"
"có atm gần cầu long biên không?","Có ATM gần Cầu Long Biên không?","1","audio-authored-co-atm-gan-cau-long-bien-khong-7f0fae6ac4","viet-family-city-hanoi-atm-long-bien-bridge","hero","hero"
"có atm gần cầu rồng không?","Có ATM gần cầu Rồng không?","1","audio-authored-co-atm-gan-cau-rong-khong-33033b7f36","viet-family-city-danang-atm-dragon-bridge","hero","hero"
"có atm gần cầu vàng không?","Có ATM gần Cầu Vàng không?","1","audio-authored-co-atm-gan-cau-vang-khong-92ee933a71","viet-family-city-danang-atm-golden-bridge","hero","hero"
"có atm gần chả cá thăng long không?","Có ATM gần Chả cá Thăng Long không?","1","audio-authored-co-atm-gan-cha-ca-thang-long-khong-ac3b0437ac","viet-family-city-hanoi-atm-cha-ca-thang-long","hero","hero"
"có atm gần chợ an cựu không?","Có ATM gần Chợ An Cựu không?","1","audio-authored-co-atm-gan-cho-an-cuu-khong-683ef91e81","viet-family-city-hue-atm-an-cuu-market","hero","hero"
"có atm gần chợ bến thành không?","Có ATM gần Chợ Bến Thành không?","1","audio-authored-co-atm-gan-cho-ben-thanh-khong-66fd085429","viet-family-city-hcmc-atm-ben-thanh-market","hero","hero"
"có atm gần chợ bình tây không?","Có ATM gần Chợ Bình Tây không?","1","audio-authored-co-atm-gan-cho-binh-tay-khong-0f639f9e1d","viet-family-city-hcmc-atm-binh-tay-market","hero","hero"
"có atm gần chợ cồn không?","Có ATM gần Chợ Cồn không?","1","audio-authored-co-atm-gan-cho-con-khong-aed6486639","viet-family-city-danang-atm-con-market","hero","hero"
"có atm gần chợ đêm helio không?","Có ATM gần Chợ đêm Helio không?","1","audio-authored-co-atm-gan-cho-dem-helio-khong-57364c1140","viet-family-city-danang-atm-helio-night-market","hero","hero"
"có atm gần chợ đông ba không?","Có ATM gần Chợ Đông Ba không?","1","audio-authored-co-atm-gan-cho-dong-ba-khong-ceaeaf03df","viet-family-city-hue-atm-dong-ba-market","hero","hero"
"có atm gần chợ đồng xuân không?","Có ATM gần Chợ Đồng Xuân không?","1","audio-authored-co-atm-gan-cho-dong-xuan-khong-7a0e84ae0c","viet-family-city-hanoi-atm-dong-xuan-market","hero","hero"
"có atm gần chợ hàn không?","Có ATM gần Chợ Hàn không?","1","audio-authored-co-atm-gan-cho-han-khong-07ed3b0e95","viet-family-city-danang-atm-han-market","hero","hero"
"có atm gần chợ hoa hồ thị kỷ không?","Có ATM gần Chợ hoa Hồ Thị Kỷ không?","1","audio-authored-co-atm-gan-cho-hoa-ho-thi-ky-khong-830fa38e8f","viet-family-city-hcmc-atm-ho-thi-ky-flower-market","hero","hero"
"có atm gần chợ hội an không?","Có ATM gần chợ Hội An không?","1","audio-authored-co-atm-gan-cho-hoi-an-khong-ac7d15a3d9","viet-family-city-hoian-atm-market","hero","hero"
"có atm gần chợ lớn không?","Có ATM gần Chợ Lớn không?","1","audio-authored-co-atm-gan-cho-lon-khong-a2cedeccb1","viet-family-city-hcmc-atm-cho-lon","hero","hero"
"có atm gần chợ long biên không?","Có ATM gần Chợ Long Biên không?","1","audio-authored-co-atm-gan-cho-long-bien-khong-b295545a3e","viet-family-city-hanoi-atm-long-bien-market","hero","hero"
"có atm gần chùa linh ứng không?","Có ATM gần Chùa Linh Ứng không?","1","audio-authored-co-atm-gan-chua-linh-ung-khong-59ceba8b18","viet-family-city-danang-atm-linh-ung-pagoda","hero","hero"
"có atm gần cồn hến không?","Có ATM gần Cồn Hến không?","1","audio-authored-co-atm-gan-con-hen-khong-19c4a819db","viet-family-city-hue-atm-hen-island","hero","hero"
"có atm gần công viên apec không?","Có ATM gần Công viên APEC không?","1","audio-authored-co-atm-gan-cong-vien-apec-khong-75ec6cc39d","viet-family-city-danang-atm-apec-park","hero","hero"
"có atm gần công viên châu á không?","Có ATM gần Công viên Châu Á không?","1","audio-authored-co-atm-gan-cong-vien-chau-a-khong-44ede8c1ba","viet-family-city-danang-atm-asia-park","hero","hero"
"có atm gần cù lao chàm không?","Có ATM gần Cù Lao Chàm không?","1","audio-authored-co-atm-gan-cu-lao-cham-khong-bbd489c9cd","viet-family-city-hoian-atm-cham-islands","hero","hero"
"có atm gần cung an định không?","Có ATM gần Cung An Định không?","1","audio-authored-co-atm-gan-cung-an-dinh-khong-4338048ddb","viet-family-city-hue-atm-an-dinh-palace","hero","hero"
"có atm gần đảo an hội không?","Có ATM gần Đảo An Hội không?","1","audio-authored-co-atm-gan-dao-an-hoi-khong-a6cd542db6","viet-family-city-hoian-atm-an-hoi-island","hero","hero"
"có atm gần đền huyền trân không?","Có ATM gần Đền Huyền Trân không?","1","audio-authored-co-atm-gan-den-huyen-tran-khong-b33de76d61","viet-family-city-hue-atm-huyen-tran-temple","hero","hero"
"có atm gần đỉnh bàn cờ không?","Có ATM gần Đỉnh Bàn Cờ không?","1","audio-authored-co-atm-gan-dinh-ban-co-khong-5665f47aca","viet-family-city-danang-atm-ban-co-peak","hero","hero"
"có atm gần đường bạch đằng không?","Có ATM gần Đường Bạch Đằng không?","1","audio-authored-co-atm-gan-duong-bach-dang-khong-ef5a725c67","viet-family-city-danang-atm-bach-dang-street","hero","hero"
"có atm gần đường đồng khởi không?","Có ATM gần Đường Đồng Khởi không?","1","audio-authored-co-atm-gan-duong-dong-khoi-khong-6659b8770a","viet-family-city-hcmc-atm-dong-khoi-street","hero","hero"
"có atm gần đường lê lợi không?","Có ATM gần Đường Lê Lợi không?","1","audio-authored-co-atm-gan-duong-le-loi-khong-0a94e19fb1","viet-family-city-hue-atm-le-loi-street","hero","hero"
"có atm gần faifo coffee không?","Có ATM gần Faifo Coffee không?","1","audio-authored-co-atm-gan-faifo-coffee-khong-09682a8352","viet-family-city-hoian-atm-faifo-coffee","hero","hero"
"có atm gần hồ hoàn kiếm không?","Có ATM gần Hồ Hoàn Kiếm không?","1","audio-authored-co-atm-gan-ho-hoan-kiem-khong-0e7f8fce17","viet-family-city-hanoi-atm-hoan-kiem-lake","hero","hero"
"có atm gần hoàng thành thăng long không?","Có ATM gần Hoàng thành Thăng Long không?","1","audio-authored-co-atm-gan-hoang-thanh-thang-long-khong-3025a9bb82","viet-family-city-hanoi-atm-imperial-citadel","hero","hero"
"có atm gần hội quán phúc kiến không?","Có ATM gần Hội quán Phúc Kiến không?","1","audio-authored-co-atm-gan-hoi-quan-phuc-kien-khong-c48fa64669","viet-family-city-hoian-atm-fujian-assembly-hall","hero","hero"
"có atm gần kinh thành huế không?","Có ATM gần Kinh thành Huế không?","1","audio-authored-co-atm-gan-kinh-thanh-hue-khong-2007ea8531","viet-family-city-hue-atm-imperial-city","hero","hero"
"có atm gần lăng bác không?","Có ATM gần Lăng Bác không?","1","audio-authored-co-atm-gan-lang-bac-khong-3d2754a33d","viet-family-city-hanoi-atm-ho-chi-minh-mausoleum","hero","hero"
"có atm gần lăng đồng khánh không?","Có ATM gần Lăng Đồng Khánh không?","1","audio-authored-co-atm-gan-lang-dong-khanh-khong-501de8c3e2","viet-family-city-hue-atm-dong-khanh-tomb","hero","hero"
"có atm gần làng dừa cẩm thanh không?","Có ATM gần Làng dừa Cẩm Thanh không?","1","audio-authored-co-atm-gan-lang-dua-cam-thanh-khong-183ce98886","viet-family-city-hoian-atm-cam-thanh-coconut-village","hero","hero"
"có atm gần lăng gia long không?","Có ATM gần Lăng Gia Long không?","1","audio-authored-co-atm-gan-lang-gia-long-khong-e05e2cf136","viet-family-city-hue-atm-gia-long-tomb","hero","hero"
"có atm gần lăng khải định không?","Có ATM gần Lăng Khải Định không?","1","audio-authored-co-atm-gan-lang-khai-dinh-khong-27ea52b010","viet-family-city-hue-atm-khai-dinh-tomb","hero","hero"
"có atm gần lăng minh mạng không?","Có ATM gần Lăng Minh Mạng không?","1","audio-authored-co-atm-gan-lang-minh-mang-khong-c450957c08","viet-family-city-hue-atm-minh-mang-tomb","hero","hero"
"có atm gần les jardins de la carambole không?","Có ATM gần Les Jardins de la Carambole không?","1","audio-authored-co-atm-gan-les-jardins-de-la-carambole-khong-80ba87a97d","viet-family-city-hue-atm-les-jardins","hero","hero"
"có atm gần nhà thờ con gà đà nẵng không?","Có ATM gần Nhà thờ Con Gà Đà Nẵng không?","1","audio-authored-co-atm-gan-nha-tho-con-ga-da-nang-khong-3d925d87a9","viet-family-city-danang-atm-cathedral","hero","hero"
"có atm gần nhà tù hỏa lò không?","Có ATM gần Nhà tù Hỏa Lò không?","1","audio-authored-co-atm-gan-nha-tu-hoa-lo-khong-9ab0dfaf09","viet-family-city-hanoi-atm-hoa-lo-prison","hero","hero"
"có atm gần phố bùi viện không?","Có ATM gần Phố Bùi Viện không?","1","audio-authored-co-atm-gan-pho-bui-vien-khong-7a7221c80e","viet-family-city-hcmc-atm-bui-vien-street","hero","hero"
"có atm gần phố cổ bao vinh không?","Có ATM gần Phố cổ Bao Vinh không?","1","audio-authored-co-atm-gan-pho-co-bao-vinh-khong-2d6bc00e1e","viet-family-city-hue-atm-bao-vinh-ancient-town","hero","hero"
"có atm gần phố cổ hà nội không?","Có ATM gần phố cổ Hà Nội không?","1","audio-authored-co-atm-gan-pho-co-ha-noi-khong-30be6f2e01","viet-family-city-hanoi-atm-old-quarter","hero","hero"
"có atm gần phố cổ hội an không?","Có ATM gần Phố cổ Hội An không?","1","audio-authored-co-atm-gan-pho-co-hoi-an-khong-e4f686e323","viet-family-city-hoian-atm-ancient-town","hero","hero"
"có atm gần phố đi bộ nguyễn huệ không?","Có ATM gần phố đi bộ Nguyễn Huệ không?","1","audio-authored-co-atm-gan-pho-di-bo-nguyen-hue-khong-cafd461604","viet-family-city-hcmc-atm-nguyen-hue","hero","hero"
"có atm gần phố hàng bạc không?","Có ATM gần Phố Hàng Bạc không?","1","audio-authored-co-atm-gan-pho-hang-bac-khong-f176068fc0","viet-family-city-hanoi-atm-hang-bac-street","hero","hero"
"có atm gần phố hàng gai không?","Có ATM gần Phố Hàng Gai không?","1","audio-authored-co-atm-gan-pho-hang-gai-khong-bcdbd0a887","viet-family-city-hanoi-atm-hang-gai-street","hero","hero"
"có atm gần quận 1 không?","Có ATM gần Quận 1 không?","1","audio-authored-co-atm-gan-quan-1-khong-b451797f99","viet-family-city-hcmc-atm-district-1","hero","hero"
"có atm gần quảng trường ba đình không?","Có ATM gần Quảng trường Ba Đình không?","1","audio-authored-co-atm-gan-quang-truong-ba-dinh-khong-ef1ba17a96","viet-family-city-hanoi-atm-ba-dinh-square","hero","hero"
"có atm gần rừng dừa bảy mẫu không?","Có ATM gần Rừng dừa Bảy Mẫu không?","1","audio-authored-co-atm-gan-rung-dua-bay-mau-khong-6d413e03d8","viet-family-city-hoian-atm-bay-mau-coconut-forest","hero","hero"
"có atm gần sân bay đà nẵng không?","Có ATM gần Sân bay Đà Nẵng không?","1","audio-authored-co-atm-gan-san-bay-da-nang-khong-9301cc7d17","viet-family-city-danang-atm-airport","hero","hero"
"có atm gần sông hàn không?","Có ATM gần Sông Hàn không?","1","audio-authored-co-atm-gan-song-han-khong-8186d0c6d2","viet-family-city-danang-atm-han-river","hero","hero"
"có atm gần sông hoài không?","Có ATM gần Sông Hoài không?","1","audio-authored-co-atm-gan-song-hoai-khong-9ff5a5a909","viet-family-city-hoian-atm-hoai-river","hero","hero"
"có atm gần tòa nhà bitexco không?","Có ATM gần Tòa nhà Bitexco không?","1","audio-authored-co-atm-gan-toa-nha-bitexco-khong-b46d23ffbc","viet-family-city-hcmc-atm-bitexco-tower","hero","hero"
"có cà phê trứng gần hồ hoàn kiếm không?","Có cà phê trứng gần hồ Hoàn Kiếm không?","1","audio-authored-co-ca-phe-trung-gan-ho-hoan-kiem-khong-c3289fbcf7","viet-family-city-hanoi-atm-hoan-kiem-lake","when-to-use","phrase"
"có nhà thuốc gần chợ bến thành không?","Có nhà thuốc gần chợ Bến Thành không?","1","audio-authored-co-nha-thuoc-gan-cho-ben-thanh-khong-55a3ec5038","viet-family-city-hcmc-pharmacy-ben-thanh","hero","hero"
"có nhà thuốc gần chợ đông ba không?","Có nhà thuốc gần chợ Đông Ba không?","1","audio-authored-co-nha-thuoc-gan-cho-dong-ba-khong-8265c47cfd","viet-family-city-hue-pharmacy-dong-ba","hero","hero"
"có nhà thuốc gần chợ đồng xuân không?","Có nhà thuốc gần chợ Đồng Xuân không?","1","audio-authored-co-nha-thuoc-gan-cho-dong-xuan-khong-f4b92e0065","viet-family-city-hanoi-pharmacy-dong-xuan","hero","hero"
"có nhà thuốc gần chợ hàn không?","Có nhà thuốc gần chợ Hàn không?","1","audio-authored-co-nha-thuoc-gan-cho-han-khong-ff450fcc4c","viet-family-city-danang-atm-han-market","explore-next","phrase"
"có nhà thuốc gần phố cổ hội an không?","Có nhà thuốc gần phố cổ Hội An không?","1","audio-authored-co-nha-thuoc-gan-pho-co-hoi-an-khong-51df1e4d86","viet-family-city-hoian-atm-ancient-town","explore-next","phrase"
"cồn hến","Cồn Hến","1","audio-authored-con-hen-4f60ff1af2","viet-family-city-hue-atm-hen-island","place-anchor","phrase"
"cồn hến gần đây không?","Cồn Hến gần đây không?","1","audio-authored-con-hen-gan-day-khong-784e8022de","viet-family-city-hue-atm-hen-island","when-to-use","phrase"
"cồn hến ở đâu?","Cồn Hến ở đâu?","1","audio-authored-con-hen-o-dau-4ce540acec","viet-family-city-hue-atm-hen-island","explore-next","phrase"
"công viên apec","Công viên APEC","1","audio-authored-cong-vien-apec-00b5ce7ccb","viet-family-city-danang-atm-apec-park","place-anchor","phrase"
"công viên apec ở đâu?","Công viên APEC ở đâu?","1","audio-authored-cong-vien-apec-o-dau-8e1a0b5ad1","viet-family-city-danang-atm-apec-park","explore-next","phrase"
"công viên châu á","Công viên Châu Á","1","audio-authored-cong-vien-chau-a-a60c17b24c","viet-family-city-danang-atm-asia-park","place-anchor","phrase"
"công viên châu á ở đâu?","Công viên Châu Á ở đâu?","1","audio-authored-cong-vien-chau-a-o-dau-ce4780fe51","viet-family-city-danang-atm-asia-park","explore-next","phrase"
"công viên tao đàn","Công viên Tao Đàn","1","audio-authored-cong-vien-tao-dan-5bef9b2155","viet-family-city-hcmc-go-tao-dan-park","place-anchor","phrase"
"công viên tao đàn ở đâu?","Công viên Tao Đàn ở đâu?","1","audio-authored-cong-vien-tao-dan-o-dau-c216a087b7","viet-family-city-hcmc-go-tao-dan-park","when-to-use","phrase"
"cù lao chàm","Cù Lao Chàm","1","audio-authored-cu-lao-cham-a56d294df0","viet-family-city-hoian-atm-cham-islands","place-anchor","phrase"
"cù lao chàm ở đâu?","Cù Lao Chàm ở đâu?","1","audio-authored-cu-lao-cham-o-dau-fa6f6aeaa8","viet-family-city-hoian-atm-cham-islands","when-to-use","phrase"
"cung an định","Cung An Định","1","audio-authored-cung-an-dinh-2f846e7509","viet-family-city-hue-atm-an-dinh-palace","place-anchor","phrase"
"cung an định ở đâu?","Cung An Định ở đâu?","1","audio-authored-cung-an-dinh-o-dau-c9cbb297ac","viet-family-city-hue-atm-an-dinh-palace","explore-next","phrase"
"đảo an hội","Đảo An Hội","1","audio-authored-dao-an-hoi-caf3fa03f4","viet-family-city-hoian-atm-an-hoi-island","place-anchor","phrase"
"đảo an hội gần đây không?","Đảo An Hội gần đây không?","1","audio-authored-dao-an-hoi-gan-day-khong-e7a068e081","viet-family-city-hoian-atm-an-hoi-island","when-to-use","phrase"
"đảo an hội ở đâu?","Đảo An Hội ở đâu?","1","audio-authored-dao-an-hoi-o-dau-701fe06de6","viet-family-city-hoian-where-an-hoi-island","hero","hero"
"đảo ký ức hội an","Đảo Ký ức Hội An","1","audio-authored-dao-ky-uc-hoi-an-334d77090b","viet-family-city-hoian-go-memories-land","place-anchor","phrase"
"đảo ký ức hội an ở đâu?","Đảo Ký ức Hội An ở đâu?","1","audio-authored-dao-ky-uc-hoi-an-o-dau-a2a160f5d9","viet-family-city-hoian-go-memories-land","when-to-use","phrase"
"đền huyền trân","Đền Huyền Trân","1","audio-authored-den-huyen-tran-3698ce4246","viet-family-city-hue-atm-huyen-tran-temple","place-anchor","phrase"
"đền huyền trân ở đâu?","Đền Huyền Trân ở đâu?","1","audio-authored-den-huyen-tran-o-dau-6150ebb018","viet-family-city-hue-atm-huyen-tran-temple","when-to-use","phrase"
"đến quận 1","Đến Quận 1","1","audio-authored-den-quan-1-a5d89ab95e","viet-family-city-hcmc-atm-district-1","when-to-use","phrase"
"đền quán thánh","Đền Quán Thánh","1","audio-authored-den-quan-thanh-fbed2afa89","viet-family-city-hanoi-go-quan-thanh-temple","place-anchor","phrase"
"đền quán thánh ở đâu?","Đền Quán Thánh ở đâu?","1","audio-authored-den-quan-thanh-o-dau-bea72de726","viet-family-city-hanoi-go-quan-thanh-temple","when-to-use","phrase"
"đi anăn sài gòn","Đi Anăn Sài Gòn","1","audio-authored-di-anan-sai-gon-a1da55b90d","viet-family-city-hcmc-atm-anan-saigon","when-to-use","phrase"
"đi bà nà hills","Đi Bà Nà Hills","1","audio-authored-di-ba-na-hills-aa992e3c66","viet-family-city-danang-atm-ba-na-hills","when-to-use","phrase"
"đi bán đảo sơn trà","Đi bán đảo Sơn Trà","1","audio-authored-di-ban-dao-son-tra-cb78470305","viet-family-city-danang-go-son-tra","hero","hero"
"đi bánh mì phượng","Đi Bánh mì Phượng","1","audio-authored-di-banh-mi-phuong-b2fd1a1de0","viet-family-city-hoian-atm-banh-mi-phuong","when-to-use","phrase"
"đi bảo tàng chứng tích chiến tranh","Đi Bảo tàng Chứng tích Chiến tranh","1","audio-authored-di-bao-tang-chung-tich-chien-tranh-8dd16cb68c","viet-family-city-hcmc-go-war-remnants-museum","hero","hero"
"đi bảo tàng cổ vật cung đình huế","Đi Bảo tàng Cổ vật Cung đình Huế","1","audio-authored-di-bao-tang-co-vat-cung-dinh-hue-1726ea0f8c","viet-family-city-hue-go-royal-antiquities-museum","hero","hero"
"đi bảo tàng dân tộc học","Đi Bảo tàng Dân tộc học","1","audio-authored-di-bao-tang-dan-toc-hoc-75166d643e","viet-family-city-hanoi-atm-ethnology-museum","when-to-use","phrase"
"đi bảo tàng di sản vô giá","Đi Bảo tàng Di sản Vô giá","1","audio-authored-di-bao-tang-di-san-vo-gia-9e49afb79d","viet-family-city-hoian-go-precious-heritage-museum","hero","hero"
"đi bảo tàng điêu khắc chăm","Đi Bảo tàng Điêu khắc Chăm","1","audio-authored-di-bao-tang-dieu-khac-cham-cc6b89a2a9","viet-family-city-danang-atm-cham-museum","when-to-use","phrase"
"đi bảo tàng mỹ thuật","Đi Bảo tàng Mỹ thuật","1","audio-authored-di-bao-tang-my-thuat-034e4d12ac","viet-family-city-hcmc-atm-fine-arts-museum","when-to-use","phrase"
"đi bến bạch đằng","Đi Bến Bạch Đằng","1","audio-authored-di-ben-bach-dang-d1f33b4566","viet-family-city-hcmc-atm-bach-dang-wharf","when-to-use","phrase"
"đi biển an bàng","Đi biển An Bàng","1","audio-authored-di-bien-an-bang-6cd96610be","viet-family-city-hoian-atm-an-bang-beach","when-to-use","phrase"
"đi biển cửa đại","Đi biển Cửa Đại","1","audio-authored-di-bien-cua-dai-e497168dbe","viet-family-city-hoian-atm-cua-dai-beach","when-to-use","phrase"
"đi biển mân thái","Đi Biển Mân Thái","1","audio-authored-di-bien-man-thai-70756346a8","viet-family-city-danang-go-man-thai-beach","hero","hero"
"đi biển mỹ khê","Đi biển Mỹ Khê","1","audio-authored-di-bien-my-khe-416b2fc6d4","viet-family-city-danang-get-off-my-khe","when-to-use","phrase"
"đi biển non nước","Đi Biển Non Nước","1","audio-authored-di-bien-non-nuoc-a140778278","viet-family-city-danang-go-non-nuoc-beach","hero","hero"
"đi bờ sông hàn","Đi bờ sông Hàn","1","audio-authored-di-bo-song-han-12d7542d64","viet-family-city-danang-atm-han-river","when-to-use","phrase"
"đi bún bò huế","Đi Bún bò Huế","1","audio-authored-di-bun-bo-hue-906f89ba8d","viet-family-city-hue-atm-bun-bo-city","when-to-use","phrase"
"đi bún bò ở chợ đông ba","Đi Bún bò ở chợ Đông Ba","1","audio-authored-di-bun-bo-o-cho-dong-ba-b2a940b79f","viet-family-city-hue-atm-dong-ba-bun-bo","when-to-use","phrase"
"đi bún chả hương liên","Đi Bún chả Hương Liên","1","audio-authored-di-bun-cha-huong-lien-957dcbdf19","viet-family-city-hanoi-atm-bun-cha-huong-lien","when-to-use","phrase"
"đi bưu điện thành phố","Đi Bưu điện Thành phố","1","audio-authored-di-buu-dien-thanh-pho-5af453b793","viet-family-city-hcmc-atm-central-post-office","when-to-use","phrase"
"đi cà phê giảng","Đi Cà phê Giảng","1","audio-authored-di-ca-phe-giang-437f37317a","viet-family-city-hanoi-atm-giang-cafe","when-to-use","phrase"
"đi cẩm châu","Đi Cẩm Châu","1","audio-authored-di-cam-chau-598e12233b","viet-family-city-hoian-atm-cam-chau","when-to-use","phrase"
"đi cẩm nam","Đi Cẩm Nam","1","audio-authored-di-cam-nam-0c90657f30","viet-family-city-hoian-atm-cam-nam","when-to-use","phrase"
"đi cảng tiên sa","Đi Cảng Tiên Sa","1","audio-authored-di-cang-tien-sa-c6af75b73b","viet-family-city-danang-go-tien-sa-port","hero","hero"
