phrase_id,family_id,family_title,scenario_id,scenario_title,english_text,target_text,pronunciation,audio_key,audio_status,access_tier,variant_role,context,search_aliases,city_id,city_name,place_id,place_name,city_library_kind,city_page_kind,place_kind,content_role,notes
v500-unde-repa-thank-you-for-understanding,v500-unde-repa-thank-you-for-understanding,Thank you for understanding,understanding-repair,When You Don't Understand,Thank you for understanding,Cảm ơn bạn đã hiểu,Cam on ban da hieu,v500-unde-repa-thank-you-for-understanding,ready,premium,say-first,Use this when the conversation is stuck and you need a clearer next step fast.,thank you for understanding,,,,,,,,,autonomous-500 from cleanup: Language Repair & Clarifying / Repair When Stuck / keep_as_is; selected as premium fill
v500-unde-repa-can-i-use-a-translation-app,v500-unde-repa-can-i-use-a-translation-app,Can I use a translation app,understanding-repair,When You Don't Understand,Can I use a translation app?,Tôi có thể sử dụng ứng dụng dịch thuật không?,Toi co the su dung ung dung dich thuat khong,v500-unde-repa-can-i-use-a-translation-app,ready,premium,say-first,Use this when the conversation is stuck and you need a clearer next step fast.,can i use a translation app? | can i use a translation app,,,,,,,,,autonomous-500 from cleanup: Language Repair & Clarifying / English Help & Translation / keep_as_is; selected as premium fill
v500-unde-repa-i-dont-understand-this-word,v500-unde-repa-i-dont-understand-this-word,I don’t understand this word,understanding-repair,When You Don't Understand,I don’t understand this word,Tôi không hiểu từ này,Toi khong hieu tu nay,v500-unde-repa-i-dont-understand-this-word,ready,premium,say-first,Use this when the conversation is stuck and you need a clearer next step fast.,i don’t understand this word | i don t understand this word,,,,,,,,,autonomous-500 from cleanup: Language Repair & Clarifying / Understand & Meaning / keep_as_is; selected as premium fill
v500-unde-repa-is-this-translation-correct,v500-unde-repa-is-this-translation-correct,Is this translation correct,understanding-repair,When You Don't Understand,Is this translation correct?,Bản dịch này có đúng không?,Ban dich nay co dung khong,v500-unde-repa-is-this-translation-correct,ready,premium,say-first,Use this when the conversation is stuck and you need a clearer next step fast.,is this translation correct? | is this translation correct,,,,,,,,,autonomous-500 from cleanup: Language Repair & Clarifying / English Help & Translation / keep_as_is; selected as premium fill
v500-unde-repa-can-you-repeat-the-last-part,v500-unde-repa-can-you-repeat-the-last-part,Can you repeat the last part,understanding-repair,When You Don't Understand,Can you repeat the last part?,Bạn có thể nhắc lại phần cuối được không?,Ban co the nhac lai phan cuoi duoc khong,v500-unde-repa-can-you-repeat-the-last-part,ready,premium,say-first,Use this when the conversation is stuck and you need a clearer next step fast.,can you repeat the last part? | can you repeat the last part,,,,,,,,,autonomous-500 from cleanup: Language Repair & Clarifying / Repeat & Slow Down / keep_as_is; selected as premium fill
v500-unde-repa-is-this-the-place-on-the-map,v500-unde-repa-is-this-the-place-on-the-map,Is this the place on the map,understanding-repair,When You Don't Understand,Is this the place on the map?,Đây có phải là địa điểm trên bản đồ không?,Day co phai la dia diem tren ban do khong,v500-unde-repa-is-this-the-place-on-the-map,ready,premium,say-first,Use this when the conversation is stuck and you need a clearer next step fast.,is this the place on the map? | is this the place on the map,,,,,,,,,"autonomous-500 from cleanup: Language Repair & Clarifying / Write, Show & Point / keep_rewrite; selected as premium fill"
v500-unde-repa-please-type-it-into-my-phone,v500-unde-repa-please-type-it-into-my-phone,Please type it into my phone,understanding-repair,When You Don't Understand,Please type it into my phone.,Hãy gõ nó vào điện thoại của tôi.,Hay go no vao dien thoai cua toi,v500-unde-repa-please-type-it-into-my-phone,ready,premium,say-first,Use this when the conversation is stuck and you need a clearer next step fast.,please type it into my phone. | please type it into my phone,,,,,,,,,"autonomous-500 from cleanup: Language Repair & Clarifying / Write, Show & Point / keep_rewrite; selected as premium fill"
v500-tran-do-you-have-a-helmet,v500-tran-do-you-have-a-helmet,Do you have a helmet,transport,Transport,Do you have a helmet?,Bạn có mũ bảo hiểm không?,Ban co mu bao hiem khong,v500-tran-do-you-have-a-helmet,ready,premium,say-first,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.",do you have a helmet? | do you have a helmet,,,,,,,,,"autonomous-500 from cleanup: Getting Around / Motorbike, Boat & Rentals / keep_as_is; selected as premium fill"
v500-tran-please-let-me-out-here,v500-tran-please-let-me-out-here,Please let me out here,transport,Transport,Please let me out here,Xin vui lòng cho tôi ra khỏi đây,Xin vui long cho toi ra khoi day,v500-tran-please-let-me-out-here,ready,premium,say-first,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.",please let me out here,,,,,,,,,autonomous-500 from cleanup: Getting Around / Transport Problems & Recovery / keep_as_is; selected as premium fill
v500-tran-does-this-bus-go-there,v500-tran-does-this-bus-go-there,Does this bus go there,transport,Transport,Does this bus go there?,Xe buýt này có đi đến đó không?,Xe buyt nay co di den do khong,v500-tran-does-this-bus-go-there,ready,premium,say-first,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.",does this bus go there? | does this bus go there,,,,,,,,,"autonomous-500 from cleanup: Getting Around / Bus, Train & Metro / keep_rewrite; selected as premium fill"
v500-tran-i-feel-unsafe-please-stop,v500-tran-i-feel-unsafe-please-stop,"I feel unsafe, please stop",transport,Transport,"I feel unsafe, please stop","Tôi cảm thấy không an toàn, xin hãy dừng lại",Toi cam thay khong an toan xin hay dung lai,v500-tran-i-feel-unsafe-please-stop,ready,premium,say-first,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.","i feel unsafe, please stop | i feel unsafe please stop",,,,,,,,,autonomous-500 from cleanup: Getting Around / Transport Problems & Recovery / keep_as_is; selected as premium fill
v500-tran-i-left-something-in-the-car,v500-tran-i-left-something-in-the-car,I left something in the car,transport,Transport,I left something in the car,Tôi để quên thứ gì đó trong xe,Toi de quen thu gi do trong xe,v500-tran-i-left-something-in-the-car,ready,premium,say-first,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.",i left something in the car,,,,,,,,,autonomous-500 from cleanup: Getting Around / Transport Problems & Recovery / keep_as_is; selected as premium fill
v500-tran-please-take-me-to-this-hotel,v500-tran-please-take-me-to-this-hotel,Please take me to this hotel,transport,Transport,Please take me to this hotel,Vui lòng đưa tôi đến khách sạn này,Vui long dua toi den khach san nay,v500-tran-please-take-me-to-this-hotel,ready,premium,say-first,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.",please take me to this hotel,,,,,,,,,autonomous-500 from cleanup: Getting Around / Taxi & Ride-Hailing / keep_as_is; selected as premium fill
v500-tran-i-will-pay-the-driver-in-cash,v500-tran-i-will-pay-the-driver-in-cash,I will pay the driver in cash,transport,Transport,I will pay the driver in cash,Tôi sẽ trả tiền mặt cho tài xế,Toi se tra tien mat cho tai xe,v500-tran-i-will-pay-the-driver-in-cash,ready,premium,say-first,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.",i will pay the driver in cash,,,,,,,,,autonomous-500 from cleanup: Getting Around / Taxi & Ride-Hailing / keep_as_is; selected as premium fill
v500-tran-is-this-my-car,v500-tran-is-this-my-car,Is this my car,transport,Transport,Is this my car?,Đây có phải là xe của tôi không?,Day co phai la xe cua toi khong,v500-tran-is-this-my-car,ready,premium,say-first,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.",is this my car? | is this my car,,,,,,,,,autonomous-500 from cleanup: Getting Around / Taxi & Ride-Hailing / keep_as_is; selected as premium fill
v500-tran-i-missed-my-stop,v500-tran-i-missed-my-stop,I missed my stop,transport,Transport,I missed my stop,Tôi đã bỏ lỡ điểm dừng của mình,Toi da bo lo diem dung cua minh,v500-tran-i-missed-my-stop,ready,premium,say-first,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.",i missed my stop,,,,,,,,,"autonomous-500 from cleanup: Getting Around / Bus, Train & Metro / keep_as_is; selected as premium fill"
v500-tran-please-wait-here,v500-tran-please-wait-here,Please wait here,transport,Transport,Please wait here,Xin vui lòng đợi ở đây,Xin vui long doi o day,v500-tran-please-wait-here,ready,premium,say-first,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.",please wait here,,,,,,,,,"autonomous-500 from cleanup: Getting Around / Comfort, Waiting & Stops / keep_as_is; selected as premium fill"
v500-tran-are-you-my-driver,v500-tran-are-you-my-driver,Are you my driver,transport,Transport,Are you my driver?,Bạn là tài xế của tôi à?,Ban la tai xe cua toi a,v500-tran-are-you-my-driver,ready,premium,say-first,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.",are you my driver? | are you my driver,,,,,,,,,autonomous-500 from cleanup: Getting Around / Taxi & Ride-Hailing / keep_as_is; selected as premium fill
v500-tran-please-go-straight,v500-tran-please-go-straight,Please go straight,transport,Transport,Please go straight,Hãy đi thẳng,Hay di thang,v500-tran-please-go-straight,ready,premium,say-first,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.",please go straight,,,,,,,,,autonomous-500 from cleanup: Getting Around / Destination & Routing / keep_as_is; selected as premium fill
v500-tran-please-turn-around,transport-turn-around,Tell the driver to turn around,transport,Transport,Please go back the other way,Xin hãy quay lại theo hướng khác,Xin hay quay lai theo huong khac,v500-tran-please-turn-around,ready,premium,also-common,Use this when the driver needs to reverse direction instead of continuing ahead.,go back the other way | turn around,,,,,,,,,autonomous-500 duplicate cleanup: merged into transport-turn-around as a non-primary variant during the 900-family pass
v900-tran-pick-me-up-at-this-entrance,v900-tran-pick-me-up-at-this-entrance,Pick me up at this entrance,transport,Transport,Please pick me up at this entrance,Hãy đón tôi ở lối vào này,Hay don toi o loi vao nay,v900-tran-pick-me-up-at-this-entrance,ready,premium,say-first,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.",pick me up at this entrance | pickup entrance,,,,,,,,,manual 900 duplicate replacement: added after cleaning duplicate turn-around anchor
v500-tran-please-drive-slower,v500-tran-please-drive-slower,Please drive slower,transport,Transport,Please drive slower,Xin hãy lái xe chậm lại,Xin hay lai xe cham lai,v500-tran-please-drive-slower,ready,premium,say-first,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.",please drive slower,,,,,,,,,"autonomous-500 from cleanup: Getting Around / Comfort, Waiting & Stops / keep_as_is; selected as premium fill"
v500-tran-please-follow-the-map,v500-tran-please-follow-the-map,Please follow the map,transport,Transport,Please follow the map,Hãy đi theo bản đồ,Hay di theo ban do,v500-tran-please-follow-the-map,ready,premium,say-first,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.",please follow the map,,,,,,,,,autonomous-500 from cleanup: Getting Around / Taxi & Ride-Hailing / keep_as_is; selected as premium fill
v500-tran-please-open-the-trunk,v500-tran-please-open-the-trunk,Please open the trunk,transport,Transport,Please open the trunk,Vui lòng mở cốp xe,Vui long mo cop xe,v500-tran-please-open-the-trunk,ready,premium,say-first,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.",please open the trunk,,,,,,,,,autonomous-500 from cleanup: Getting Around / Taxi & Ride-Hailing / keep_as_is; selected as premium fill
v500-tran-when-is-the-next-bus,v500-tran-when-is-the-next-bus,When is the next bus,transport,Transport,When is the next bus?,Khi nào có chuyến xe buýt tiếp theo?,Khi nao co chuyen xe buyt tiep theo,v500-tran-when-is-the-next-bus,ready,premium,say-first,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.",when is the next bus? | when is the next bus,,,,,,,,,"autonomous-500 from cleanup: Getting Around / Bus, Train & Metro / keep_as_is; selected as premium fill"
v500-tran-where-do-i-return-it,v500-tran-where-do-i-return-it,Where do I return it,transport,Transport,Where do I return it?,Tôi có thể trả lại nó ở đâu?,Toi co the tra lai no o dau,v500-tran-where-do-i-return-it,ready,premium,say-first,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.",where do i return it? | where do i return it,,,,,,,,,"autonomous-500 from cleanup: Getting Around / Motorbike, Boat & Rentals / keep_as_is; selected as premium fill"
v500-tran-can-i-put-my-bag-here,v500-tran-can-i-put-my-bag-here,Can I put my bag here,transport,Transport,Can I put my bag here?,Tôi có thể đặt túi của tôi ở đây được không?,Toi co the dat tui cua toi o day duoc khong,v500-tran-can-i-put-my-bag-here,ready,premium,say-first,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.",can i put my bag here? | can i put my bag here,,,,,,,,,"autonomous-500 from cleanup: Getting Around / Bus, Train & Metro / keep_as_is; selected as premium fill"
v500-tran-i-got-on-the-wrong-bus,v500-tran-i-got-on-the-wrong-bus,I got on the wrong bus,transport,Transport,I got on the wrong bus,Tôi lên nhầm xe buýt,Toi len nham xe buyt,v500-tran-i-got-on-the-wrong-bus,ready,premium,say-first,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.",i got on the wrong bus,,,,,,,,,"autonomous-500 from cleanup: Getting Around / Bus, Train & Metro / keep_as_is; selected as premium fill"
v500-tran-is-this-train-delayed,v500-tran-is-this-train-delayed,Is this train delayed,transport,Transport,Is this train delayed?,Chuyến tàu này có bị trễ không?,Chuyen tau nay co bi tre khong,v500-tran-is-this-train-delayed,ready,premium,say-first,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.",is this train delayed? | is this train delayed,,,,,,,,,"autonomous-500 from cleanup: Getting Around / Bus, Train & Metro / keep_as_is; selected as premium fill"
v500-tran-please-call-the-driver,v500-tran-please-call-the-driver,Please call the driver,transport,Transport,Please call the driver,Vui lòng gọi tài xế,Vui long goi tai xe,v500-tran-please-call-the-driver,ready,premium,say-first,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.",please call the driver,,,,,,,,,autonomous-500 from cleanup: Getting Around / Transport Problems & Recovery / keep_as_is; selected as premium fill
v500-tran-please-drive-carefully,v500-tran-please-drive-carefully,Please drive carefully,transport,Transport,Please drive carefully,Hãy lái xe cẩn thận,Hay lai xe can than,v500-tran-please-drive-carefully,ready,premium,say-first,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.",please drive carefully,,,,,,,,,"autonomous-500 from cleanup: Getting Around / Comfort, Waiting & Stops / keep_as_is; selected as premium fill"
v500-tran-please-lower-the-music,v500-tran-please-lower-the-music,Please lower the music,transport,Transport,Please lower the music,Làm ơn giảm nhạc đi,Lam on giam nhac di,v500-tran-please-lower-the-music,ready,premium,say-first,"Use this during rides, stations, pickups, or route changes when the trip could go sideways.",please lower the music,,,,,,,,,"autonomous-500 from cleanup: Getting Around / Comfort, Waiting & Stops / keep_as_is; selected as premium fill"
v500-hote-acco-the-electricity-is-out,v500-hote-acco-the-electricity-is-out,The electricity is out,hotel-accommodation,Hotel Accommodation,The electricity is out,Điện đã hết,Dien da het,v500-hote-acco-the-electricity-is-out,ready,premium,say-first,Use this at the front desk or in the room when you need the hotel to fix the next step.,the electricity is out,,,,,,,,,autonomous-500 from cleanup: Hotel & Accommodation / Room Problems / keep_as_is; selected as premium fill
v500-hote-acco-can-someone-come-fix-it,v500-hote-acco-can-someone-come-fix-it,Can someone come fix it,hotel-accommodation,Hotel Accommodation,Can someone come fix it?,Ai đó có thể đến sửa nó được không?,Ai do co the den sua no duoc khong,v500-hote-acco-can-someone-come-fix-it,ready,premium,say-first,Use this at the front desk or in the room when you need the hotel to fix the next step.,can someone come fix it? | can someone come fix it,,,,,,,,,autonomous-500 from cleanup: Hotel & Accommodation / Room Problems / keep_as_is; selected as premium fill
v500-hote-acco-the-toilet-is-not-working,v500-hote-acco-the-toilet-is-not-working,The toilet is not working,hotel-accommodation,Hotel Accommodation,The toilet is not working,Nhà vệ sinh không hoạt động,Nha ve sinh khong hoat dong,v500-hote-acco-the-toilet-is-not-working,ready,premium,say-first,Use this at the front desk or in the room when you need the hotel to fix the next step.,the toilet is not working,,,,,,,,,autonomous-500 from cleanup: Hotel & Accommodation / Room Problems / keep_as_is; selected as premium fill
v500-hote-acco-here-is-my-passport-for-check-in,v500-hote-acco-here-is-my-passport-for-check-in,Here is my passport for check-in,hotel-accommodation,Hotel Accommodation,Here is my passport for check-in,Đây là hộ chiếu của tôi để nhận phòng,Day la ho chieu cua toi de nhan phong,v500-hote-acco-here-is-my-passport-for-check-in,ready,premium,say-first,Use this at the front desk or in the room when you need the hotel to fix the next step.,here is my passport for check-in | here is my passport for check in,,,,,,,,,autonomous-500 from cleanup: Hotel & Accommodation / Check-In & Reservation / keep_as_is; selected as premium fill
v500-hote-acco-can-i-pay-now,v500-hote-acco-can-i-pay-now,Can I pay now,hotel-accommodation,Hotel Accommodation,Can I pay now?,Tôi có thể thanh toán bây giờ được không?,Toi co the thanh toan bay gio duoc khong,v500-hote-acco-can-i-pay-now,ready,premium,say-first,Use this at the front desk or in the room when you need the hotel to fix the next step.,can i pay now? | can i pay now,,,,,,,,,"autonomous-500 from cleanup: Hotel & Accommodation / Checkout, Extensions & Payment / keep_as_is; selected as premium fill"
v500-hote-acco-i-booked-online,v500-hote-acco-i-booked-online,I booked online,hotel-accommodation,Hotel Accommodation,I booked online,Tôi đã đặt trực tuyến,Toi da dat truc tuyen,v500-hote-acco-i-booked-online,ready,premium,say-first,Use this at the front desk or in the room when you need the hotel to fix the next step.,i booked online,,,,,,,,,autonomous-500 from cleanup: Hotel & Accommodation / Check-In & Reservation / keep_as_is; selected as premium fill
v500-hote-acco-can-i-change-rooms,v500-hote-acco-can-i-change-rooms,Can I change rooms,hotel-accommodation,Hotel Accommodation,Can I change rooms?,Tôi có thể đổi phòng được không?,Toi co the doi phong duoc khong,v500-hote-acco-can-i-change-rooms,ready,premium,say-first,Use this at the front desk or in the room when you need the hotel to fix the next step.,can i change rooms? | can i change rooms,,,,,,,,,autonomous-500 from cleanup: Hotel & Accommodation / Room Problems / keep_as_is; selected as premium fill
v500-hote-acco-can-i-have-an-iron,v500-hote-acco-can-i-have-an-iron,Can I have an iron,hotel-accommodation,Hotel Accommodation,Can I have an iron?,Tôi có thể có một cái bàn ủi được không?,Toi co the co mot cai ban ui duoc khong,v500-hote-acco-can-i-have-an-iron,ready,premium,say-first,Use this at the front desk or in the room when you need the hotel to fix the next step.,can i have an iron? | can i have an iron,,,,,,,,,autonomous-500 from cleanup: Hotel & Accommodation / Housekeeping & Supplies / keep_as_is; selected as premium fill
v500-hote-acco-can-i-check-in-early,v500-hote-acco-can-i-check-in-early,Can I check in early,hotel-accommodation,Hotel Accommodation,Can I check in early?,Tôi có thể nhận phòng sớm được không?,Toi co the nhan phong som duoc khong,v500-hote-acco-can-i-check-in-early,ready,premium,say-first,Use this at the front desk or in the room when you need the hotel to fix the next step.,can i check in early? | can i check in early,,,,,,,,,autonomous-500 from cleanup: Hotel & Accommodation / Check-In & Reservation / keep_as_is; selected as premium fill
v500-hote-acco-can-i-check-out-late,v500-hote-acco-can-i-check-out-late,Can I check out late,hotel-accommodation,Hotel Accommodation,Can I check out late?,Tôi có thể trả phòng muộn được không?,Toi co the tra phong muon duoc khong,v500-hote-acco-can-i-check-out-late,ready,premium,say-first,Use this at the front desk or in the room when you need the hotel to fix the next step.,can i check out late? | can i check out late,,,,,,,,,"autonomous-500 from cleanup: Hotel & Accommodation / Checkout, Extensions & Payment / keep_as_is; selected as premium fill"
v500-hote-acco-can-i-have-more-soap,v500-hote-acco-can-i-have-more-soap,Can I have more soap,hotel-accommodation,Hotel Accommodation,Can I have more soap?,Tôi có thể lấy thêm xà phòng được không?,Toi co the lay them xa phong duoc khong,v500-hote-acco-can-i-have-more-soap,ready,premium,say-first,Use this at the front desk or in the room when you need the hotel to fix the next step.,can i have more soap? | can i have more soap,,,,,,,,,autonomous-500 from cleanup: Hotel & Accommodation / Housekeeping & Supplies / keep_as_is; selected as premium fill
v500-hote-acco-the-room-is-not-clean,v500-hote-acco-the-room-is-not-clean,The room is not clean,hotel-accommodation,Hotel Accommodation,The room is not clean,Phòng không sạch sẽ,Phong khong sach se,v500-hote-acco-the-room-is-not-clean,ready,premium,say-first,Use this at the front desk or in the room when you need the hotel to fix the next step.,the room is not clean,,,,,,,,,"autonomous-500 from cleanup: Hotel & Accommodation / Complaints, Changes & Refunds / keep_as_is; selected as premium fill"
v500-hote-acco-the-room-is-too-noisy,hotel-too-noisy,Say the room is too noisy,hotel-accommodation,Hotel Accommodation,I cannot sleep because it is too noisy,Tôi không thể ngủ được vì quá ồn ào,Toi khong the ngu duoc vi qua on ao,v500-hote-acco-the-room-is-too-noisy,ready,premium,clearer,"Use this when outside noise, neighbors, or hotel noise is making the room unusable.",cannot sleep because of the noise | too noisy to sleep,,,,,,,,,autonomous-500 duplicate cleanup: merged into hotel-too-noisy as a clearer non-primary variant during the 900-family pass
v500-hote-acco-there-is-no-hot-water,hotel-no-hot-water,Report that there is no hot water,hotel-accommodation,Hotel Accommodation,The shower only has cold water,Vòi sen chỉ có nước lạnh,Voi sen chi co nuoc lanh,v500-hote-acco-there-is-no-hot-water,ready,premium,clearer,Use this when the shower or sink water is cold and you need the hotel to fix it.,cold water only | shower only has cold water,,,,,,,,,autonomous-500 duplicate cleanup: merged into hotel-no-hot-water as a clearer non-primary variant during the 900-family pass
v900-hote-acco-the-shower-is-not-working,v900-hote-acco-the-shower-is-not-working,The shower is not working,hotel-accommodation,Hotel Accommodation,The shower is not working,Vòi hoa sen không hoạt động,Voi hoa sen khong hoat dong,v900-hote-acco-the-shower-is-not-working,ready,premium,say-first,Use this at the front desk or in the room when you need the hotel to fix the next step.,the shower is not working | broken shower,,,,,,,,,manual 900 duplicate replacement: added after cleaning duplicate hotel anchor
v900-hote-acco-the-water-pressure-is-too-low,v900-hote-acco-the-water-pressure-is-too-low,The water pressure is too low,hotel-accommodation,Hotel Accommodation,The water pressure is too low,Áp lực nước quá thấp,Ap luc nuoc qua thap,v900-hote-acco-the-water-pressure-is-too-low,ready,premium,say-first,Use this at the front desk or in the room when you need the hotel to fix the next step.,water pressure too low | low water pressure,,,,,,,,,manual 900 duplicate replacement: added after cleaning duplicate hotel anchor
v500-hote-acco-do-you-need-a-deposit,v500-hote-acco-do-you-need-a-deposit,Do you need a deposit,hotel-accommodation,Hotel Accommodation,Do you need a deposit?,Bạn có cần đặt cọc không?,Ban co can dat coc khong,v500-hote-acco-do-you-need-a-deposit,ready,premium,say-first,Use this at the front desk or in the room when you need the hotel to fix the next step.,do you need a deposit? | do you need a deposit,,,,,,,,,autonomous-500 from cleanup: Hotel & Accommodation / Check-In & Reservation / keep_as_is; selected as premium fill
v500-hote-acco-is-breakfast-included,v500-hote-acco-is-breakfast-included,Is breakfast included,hotel-accommodation,Hotel Accommodation,Is breakfast included?,Có bao gồm bữa sáng không?,Co bao gom bua sang khong,v500-hote-acco-is-breakfast-included,ready,premium,say-first,Use this at the front desk or in the room when you need the hotel to fix the next step.,is breakfast included? | is breakfast included,,,,,,,,,autonomous-500 from cleanup: Hotel & Accommodation / Check-In & Reservation / keep_as_is; selected as premium fill
v500-hote-acco-please-remove-the-trash,v500-hote-acco-please-remove-the-trash,Please remove the trash,hotel-accommodation,Hotel Accommodation,Please remove the trash,Vui lòng loại bỏ thùng rác,Vui long loai bo thung rac,v500-hote-acco-please-remove-the-trash,ready,premium,say-first,Use this at the front desk or in the room when you need the hotel to fix the next step.,please remove the trash,,,,,,,,,autonomous-500 from cleanup: Hotel & Accommodation / Housekeeping & Supplies / keep_as_is; selected as premium fill
v500-hote-acco-the-safe-is-not-opening,v500-hote-acco-the-safe-is-not-opening,The safe is not opening,hotel-accommodation,Hotel Accommodation,The safe is not opening,két sắt không mở được,ket sat khong mo duoc,v500-hote-acco-the-safe-is-not-opening,ready,premium,say-first,Use this at the front desk or in the room when you need the hotel to fix the next step.,the safe is not opening,,,,,,,,,autonomous-500 from cleanup: Hotel & Accommodation / Room Problems / keep_as_is; selected as premium fill
v500-hote-acco-what-time-is-breakfast,v500-hote-acco-what-time-is-breakfast,What time is breakfast,hotel-accommodation,Hotel Accommodation,What time is breakfast?,Bữa sáng lúc mấy giờ?,Bua sang luc may gio,v500-hote-acco-what-time-is-breakfast,ready,premium,say-first,Use this at the front desk or in the room when you need the hotel to fix the next step.,what time is breakfast? | what time is breakfast,,,,,,,,,autonomous-500 from cleanup: Hotel & Accommodation / Check-In & Reservation / keep_as_is; selected as premium fill
v500-food-drin-this-tastes-spoiled,v500-food-drin-this-tastes-spoiled,This tastes spoiled,food-drink,Food & Drink,This tastes spoiled,Cái này có vị hư hỏng,Cai nay co vi hu hong,v500-food-drin-this-tastes-spoiled,ready,premium,say-first,"Use this while ordering, correcting the dish, or paying when the table moment needs a direct phrase.",this tastes spoiled,,,,,,,,,autonomous-500 from cleanup: Food & Drink / Order Problems & Recovery / keep_as_is; selected as premium fill
v500-food-drin-does-this-contain-shrimp,v500-food-drin-does-this-contain-shrimp,Does this contain shrimp,food-drink,Food & Drink,Does this contain shrimp?,Cái này có chứa tôm không?,Cai nay co chua tom khong,v500-food-drin-does-this-contain-shrimp,ready,premium,say-first,"Use this while ordering, correcting the dish, or paying when the table moment needs a direct phrase.",does this contain shrimp? | does this contain shrimp,,,,,,,,,autonomous-500 from cleanup: Food & Drink / Dietary Needs & Allergies / keep_as_is; selected as premium fill
v500-food-drin-does-this-contain-peanuts,v500-food-drin-does-this-contain-peanuts,Does this contain peanuts,food-drink,Food & Drink,Does this contain peanuts?,Cái này có chứa đậu phộng không?,Cai nay co chua dau phong khong,v500-food-drin-does-this-contain-peanuts,ready,premium,say-first,"Use this while ordering, correcting the dish, or paying when the table moment needs a direct phrase.",does this contain peanuts? | does this contain peanuts,,,,,,,,,autonomous-500 from cleanup: Food & Drink / Dietary Needs & Allergies / keep_as_is; selected as premium fill
v500-food-drin-i-am-allergic-to-shellfish,v500-food-drin-i-am-allergic-to-shellfish,I am allergic to shellfish,food-drink,Food & Drink,I am allergic to shellfish,Tôi bị dị ứng với động vật có vỏ,Toi bi di ung voi dong vat co vo,v500-food-drin-i-am-allergic-to-shellfish,ready,premium,say-first,"Use this while ordering, correcting the dish, or paying when the table moment needs a direct phrase.",i am allergic to shellfish,,,,,,,,,autonomous-500 from cleanup: Food & Drink / Dietary Needs & Allergies / keep_as_is; selected as premium fill
v500-food-drin-id-like-a-b-nh-m-please,v500-food-drin-id-like-a-b-nh-m-please,"I’d like a bánh mì, please",food-drink,Food & Drink,"I’d like a bánh mì, please",Làm ơn cho tôi một cái bánh mì,Lam on cho toi mot cai banh mi,v500-food-drin-id-like-a-b-nh-m-please,ready,premium,say-first,"Use this while ordering, correcting the dish, or paying when the table moment needs a direct phrase.","i’d like a bánh mì, please | i d like a b nh m please",,,,,,,,,autonomous-500 from cleanup: Food & Drink / Ordering Food / keep_as_is; selected as premium fill
v500-food-drin-i-am-allergic-to-fish-sauce,v500-food-drin-i-am-allergic-to-fish-sauce,I am allergic to fish sauce,food-drink,Food & Drink,I am allergic to fish sauce,Tôi bị dị ứng với nước mắm,Toi bi di ung voi nuoc mam,v500-food-drin-i-am-allergic-to-fish-sauce,ready,premium,say-first,"Use this while ordering, correcting the dish, or paying when the table moment needs a direct phrase.",i am allergic to fish sauce,,,,,,,,,autonomous-500 from cleanup: Food & Drink / Dietary Needs & Allergies / keep_as_is; selected as premium fill
v500-food-drin-there-is-something-in-my-food,v500-food-drin-there-is-something-in-my-food,There is something in my food,food-drink,Food & Drink,There is something in my food,Có thứ gì đó trong thức ăn của tôi,Co thu gi do trong thuc an cua toi,v500-food-drin-there-is-something-in-my-food,ready,premium,say-first,"Use this while ordering, correcting the dish, or paying when the table moment needs a direct phrase.",there is something in my food,,,,,,,,,autonomous-500 from cleanup: Food & Drink / Order Problems & Recovery / keep_as_is; selected as premium fill
v500-food-drin-i-ordered-this-without-peanuts,v500-food-drin-i-ordered-this-without-peanuts,I ordered this without peanuts,food-drink,Food & Drink,I ordered this without peanuts,Tôi đã gọi món này mà không có đậu phộng,Toi da goi mon nay ma khong co dau phong,v500-food-drin-i-ordered-this-without-peanuts,ready,premium,say-first,"Use this while ordering, correcting the dish, or paying when the table moment needs a direct phrase.",i ordered this without peanuts,,,,,,,,,autonomous-500 from cleanup: Food & Drink / Order Problems & Recovery / keep_as_is; selected as premium fill
