rank,scenarioID,scenarioTitle,familyID,pageID,title,english,coverage,resourceFound,tierRole,depth,sectionCount,hasBreakdown,hasPhraseRows,hasGoodToKnow,practiceEligible,practiceKind,audioState,buildoutScore,buildoutBand
121,sightseeing-activities,Sightseeing & Activities,sight-meeting-point,viet-family-sight-meeting-point,Điểm gặp ở đâu?,Where is the meeting point?,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
122,local-services-everyday-tasks,Local Services & Everyday Tasks,service-water,viet-family-service-water,Cho tôi chai nước,A bottle of water please,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
123,local-services-everyday-tasks,Local Services & Everyday Tasks,service-bag,viet-family-service-bag,Có túi không?,Do you have a bag?,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
124,local-services-everyday-tasks,Local Services & Everyday Tasks,service-tissues,viet-family-service-tissues,Cho tôi khăn giấy,Tissues please,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
125,local-services-everyday-tasks,Local Services & Everyday Tasks,service-sunscreen,viet-family-service-sunscreen,Ở đâu có kem chống nắng?,Where is the sunscreen?,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
126,local-services-everyday-tasks,Local Services & Everyday Tasks,service-open-this,viet-family-service-open-this,Mở cái này giúp tôi,Please open this for me,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
127,local-services-everyday-tasks,Local Services & Everyday Tasks,service-card,viet-family-service-card,Tôi quẹt thẻ được không?,Can I pay by card?,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
128,local-services-everyday-tasks,Local Services & Everyday Tasks,service-receipt,viet-family-service-receipt,Cho tôi hóa đơn,Please give me the receipt,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
129,polite-basics,Polite Basics,v500-poli-basi-yes,viet-acknowledge-dung,Đúng,Yes,authored-resource,yes,catalog-promoted,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
130,understanding-repair,When You Don't Understand,v500-unde-repa-please-say-it-slowly,viet-family-v500-unde-repa-please-say-it-slowly,Hãy nói từ từ nhé,Please say it slowly,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
131,hotel-accommodation,Hotel Accommodation,v500-hote-acco-the-door-does-not-lock,viet-family-v500-hote-acco-the-door-does-not-lock,Cửa không khóa,The door does not lock,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
132,money-numbers-prices,Payment & numbers,v500-mone-numb-pric-the-atm-kept-my-card,viet-family-v500-mone-numb-pric-the-atm-kept-my-card,ATM đã giữ thẻ của tôi,The ATM kept my card,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
133,directions-navigation,Directions & Navigation,v500-dire-navi-where-is-the-nearest-restroom,viet-family-v500-dire-navi-where-is-the-nearest-restroom,Nhà vệ sinh gần nhất ở đâu?,Where is the nearest restroom?,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
134,airport-border-arrival,Airport Border Arrival,v500-airp-bord-arri-here-is-my-visa,viet-family-v500-airp-bord-arri-here-is-my-visa,Đây là thị thực của tôi,Here is my visa,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
135,airport-border-arrival,Airport Border Arrival,v500-airp-bord-arri-where-is-the-atm,viet-family-v500-airp-bord-arri-where-is-the-atm,ATM ở đâu?,Where is the ATM?,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
136,airport-border-arrival,Airport Border Arrival,v500-airp-bord-arri-here-is-my-passport,viet-family-v500-airp-bord-arri-here-is-my-passport,Đây là hộ chiếu của tôi,Here is my passport,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
137,health-pharmacy,Health & Pharmacy,v500-heal-phar-i-feel-dizzy,viet-family-v500-heal-phar-i-feel-dizzy,Tôi cảm thấy chóng mặt,I feel dizzy,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
138,problems-help,Problems & Help,v500-prob-help-i-need-help-now,viet-family-v500-prob-help-i-need-help-now,Tôi cần giúp đỡ bây giờ,I need help now,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
139,time-dates-booking,"Time, Dates & Booking",v500-time-date-book-is-there-a-wait,viet-family-v500-time-date-book-is-there-a-wait,Có chờ đợi không?,Is there a wait?,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
140,time-dates-booking,"Time, Dates & Booking",v500-time-date-book-one-ticket-please,viet-family-v500-time-date-book-one-ticket-please,Xin một vé,"One ticket, please",authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
141,shopping,Shopping,v500-shop-how-much-is-this-item,viet-family-v500-shop-how-much-is-this-item,Mặt hàng này giá bao nhiêu?,How much is this item?,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
142,shopping,Shopping,v500-shop-can-you-lower-the-price,viet-family-v500-shop-can-you-lower-the-price,Giảm giá chút được không?,Can you lower the price?,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,practical_flow_scenario,manifest-ready,100,xin-chao-like
143,phone-internet-power,"Phone, Internet & Power",v500-phon-inte-powe-my-map-is-not-working,viet-family-v500-phon-inte-powe-my-map-is-not-working,Bản đồ của tôi không hoạt động,My map is not working,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
144,phone-internet-power,"Phone, Internet & Power",v500-phon-inte-powe-where-can-i-get-a-local-sim-card,viet-family-v500-phon-inte-powe-where-can-i-get-a-local-sim-card,Tôi có thể mua SIM ở đâu?,Where can I get a local SIM card?,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
145,phone-internet-power,"Phone, Internet & Power",v500-phon-inte-powe-i-need-an-esim,viet-family-v500-phon-inte-powe-i-need-an-esim,Tôi cần một eSIM,I need an eSIM,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
146,emergency-safety,Emergency & Safety,v500-emer-safe-i-am-injured,viet-family-v500-emer-safe-i-am-injured,tôi bị thương,I am injured,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,urgent_help_scenario,manifest-ready,100,xin-chao-like
147,emergency-safety,Emergency & Safety,v500-emer-safe-i-cannot-move,viet-family-v500-emer-safe-i-cannot-move,Tôi không thể di chuyển,I cannot move,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,urgent_help_scenario,manifest-ready,100,xin-chao-like
148,emergency-safety,Emergency & Safety,v500-emer-safe-do-not-touch-me,viet-family-v500-emer-safe-do-not-touch-me,Đừng chạm vào tôi,Do not touch me,authored-resource,yes,tier1,deep,4,yes,yes,yes,yes,urgent_help_scenario,manifest-ready,100,xin-chao-like
149,sightseeing-activities,Sightseeing & Activities,v500-sigh-acti-i-have-a-tour-booking,viet-family-v500-sigh-acti-i-have-a-tour-booking,Tôi có đặt tour,I have a tour booking,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
150,local-services-everyday-tasks,Local Services & Everyday Tasks,v500-loca-serv-ever-task-where-can-i-buy-water,viet-family-v500-loca-serv-ever-task-where-can-i-buy-water,Tôi có thể mua nước ở đâu?,Where can I buy water?,authored-resource,yes,tier1,deep,4,yes,yes,yes,no,phrase_audio_review,manifest-ready,100,xin-chao-like
