rank,score,readiness,conversationName,conversationNameWordCount,sourcePageID,sourcePhraseID,sourceFamilyID,sourceType,entryPattern,vietnamese,english,scenarioID,phraseIDs,firstExchangePhraseID,avoidNewPhrases,audioState,note
68,132,ready-thread,Try on,2,viet-family-shopping-try-on,shop-3,shopping-try-on,tier1,traveler-first,Tôi thử cái này được không?,Can I try this on?,shopping,shop-3|shop-1|shop-5|shop-2|shop-4|v500-shop-how-much-is-this-item|v500-shop-can-you-lower-the-price,shop-3,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
69,130,ready-thread,Buy water,2,viet-family-food-bottled-water,food-5,food-bottled-water,tier1,traveler-first,Có nước suối không?,Do you have bottled water?,food-drink,food-5|coffee-1|food-1|coffee-2|coffee-3|food-2|food-3|food-4|food-6|food-7,food-5,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
70,130,ready-thread,Fix AC,2,viet-family-food-coffee-bac-xiu,coffee-3,food-coffee-bac-xiu,tier1,traveler-first,Cho tôi bạc xỉu đá,I’d like an iced bạc xỉu,food-drink,coffee-3|coffee-1|food-2|coffee-2|coffee-4|food-3|food-4|food-5|food-6|food-7,coffee-3,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
71,130,ready-thread,Fix AC,2,viet-family-food-pack-to-go,food-7,food-pack-to-go,tier1,traveler-first,Gói mang về,Pack it to go,food-drink,food-7|coffee-1|food-1|coffee-2|coffee-3|food-2|food-3|food-4|food-5|food-6,food-7,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
72,130,ready-thread,Go,1,viet-family-food-to-go,coffee-6,food-to-go,tier1,traveler-first,Mang đi,To go,food-drink,coffee-6|coffee-1|food-2|coffee-2|coffee-3|food-3|food-4|food-5|food-6|food-7,coffee-6,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
73,130,ready-thread,Just little ice,3,viet-family-food-less-ice,coffee-4,food-less-ice,tier1,traveler-first,Ít đá thôi,Just a little ice,food-drink,coffee-4|coffee-1|food-2|coffee-2|coffee-3|food-3|food-4|food-5|food-6|food-7,coffee-4,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
74,130,ready-thread,More herbs,2,viet-family-food-more-herbs,food-4,food-more-herbs,tier1,traveler-first,Cho thêm rau,More herbs please,food-drink,food-4|coffee-1|food-1|coffee-2|coffee-3|food-2|food-3|food-5|food-6|food-7,food-4,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
75,130,ready-thread,No sugar,2,viet-family-food-no-sugar,coffee-5,food-no-sugar,tier1,traveler-first,Không đường nhé,No sugar please,food-drink,coffee-5|coffee-1|food-2|coffee-2|coffee-3|food-3|food-4|food-5|food-6|food-7,coffee-5,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
76,130,ready-thread,Not spicy,2,viet-family-food-not-spicy,food-3,food-not-spicy,tier1,traveler-first,Không cay nhé,Not spicy please,food-drink,food-3|food-not-spicy-clearer|coffee-1|food-1|coffee-2|coffee-3|food-2|food-4|food-5|food-6,food-3,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
77,130,ready-thread,Order food,2,viet-family-food-one-portion,food-1,food-one-portion,tier1,traveler-first,Cho tôi một phần,One portion please,food-drink,food-1|coffee-1|food-2|coffee-2|coffee-3|food-3|food-4|food-5|food-6|food-7,food-1,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
78,130,ready-thread,Pay bill,2,viet-family-food-pay-now,coffee-7,food-pay-now,tier1,traveler-first,Tính tiền giúp tôi,Please let me pay,food-drink,coffee-7|coffee-1|food-2|coffee-2|coffee-3|food-3|food-4|food-5|food-6|food-7,coffee-7,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
79,130,ready-thread,Say number again,3,viet-family-repair-number,repair-6,repair-number,tier1,traveler-first,Làm ơn nói lại số đó,Please say the number again,understanding-repair,repair-6|repair-number-amount|problems-2|repair-2|problems-3|repair-1|repair-3|repair-english-help|v500-unde-repa-please-say-it-slowly,repair-6,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
80,130,ready-thread,Spoon and chopsticks,3,viet-family-food-utensils,food-6,food-utensils,tier1,traveler-first,Cho tôi muỗng với đũa,A spoon and chopsticks please,food-drink,food-6|coffee-1|food-1|coffee-2|coffee-3|food-2|food-3|food-4|food-5|food-7,food-6,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
81,130,ready-thread,Take bowl,2,viet-family-food-this-bowl,food-2,food-this-bowl,tier1,traveler-first,Cho tôi tô này,I’ll take this bowl,food-drink,food-2|coffee-1|food-1|coffee-2|coffee-3|food-3|food-4|food-5|food-6|food-7,food-2,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
82,130,ready-thread,Vegetarian,1,viet-family-food-vegetarian,food-vegetarian,food-vegetarian,tier1,traveler-first,Tôi ăn chay,I am vegetarian,food-drink,food-vegetarian|coffee-1|food-1|coffee-2|coffee-3|food-2|food-3|food-4|food-5|food-6,food-vegetarian,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
83,130,ready-thread,You speak English?,3,viet-family-repair-english-help,repair-english-help,repair-english-help,tier1,traveler-first,Anh/chị nói tiếng Anh không?,Do you speak English?,understanding-repair,repair-english-help|repair-english-help-self-limit|problems-2|repair-2|problems-3|repair-1|repair-3|repair-6|v500-unde-repa-please-say-it-slowly,repair-english-help,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
84,128,ready-thread,Buy SIM,2,viet-family-phone-sim,phone-2,phone-sim,tier1,local-first,Có bán SIM không?,Do you sell SIM cards?,phone-internet-power,phone-2|phone-1|phone-5|phone-3|phone-4|v500-phon-inte-powe-my-map-is-not-working|v500-phon-inte-powe-where-can-i-get-a-local-sim-card|v500-phon-inte-powe-i-need-an-esim,phone-2,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
85,128,ready-thread,Buy SIM,2,viet-family-v500-phon-inte-powe-i-need-an-esim,v500-phon-inte-powe-i-need-an-esim,v500-phon-inte-powe-i-need-an-esim,tier1,traveler-first,Tôi cần một eSIM,I need an eSIM,phone-internet-power,v500-phon-inte-powe-i-need-an-esim|phone-1|phone-4|phone-2|phone-3|phone-5|v500-phon-inte-powe-my-map-is-not-working|v500-phon-inte-powe-where-can-i-get-a-local-sim-card,v500-phon-inte-powe-i-need-an-esim,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
86,128,ready-thread,You charger?,2,viet-family-phone-charger,phone-4,phone-charger,tier1,traveler-first,Có sạc không?,Do you have a charger?,phone-internet-power,phone-4|phone-1|phone-5|phone-2|phone-3|v500-phon-inte-powe-my-map-is-not-working|v500-phon-inte-powe-where-can-i-get-a-local-sim-card|v500-phon-inte-powe-i-need-an-esim,phone-4,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
87,126,ready-thread,Ask menu,2,viet-family-food-menu,food-menu,food-menu,tier1,traveler-first,Cho tôi xem thực đơn được không?,Can I see the menu?,food-drink,food-menu|coffee-1|food-2|coffee-2|coffee-3|food-3|food-4|food-5|food-6|food-7,food-menu,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
88,126,ready-thread,Ask price,2,viet-family-money-how-much,price-1,money-how-much,tier1,local-first,Cái này bao nhiêu?,How much is this?,money-numbers-prices,price-1|money-how-much-common|price-2|price-5|price-3|price-4|price-6|price-7|airport-4|v500-mone-numb-pric-the-atm-kept-my-card,price-1,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
89,126,ready-thread,Call hotel,2,viet-family-help-call-hotel,help-2,help-call-hotel,tier1,traveler-first,Gọi khách sạn giúp tôi,Please call the hotel for me,problems-help,help-2|problems-1|help-3|problems-4|help-need-help-direct|v500-prob-help-i-need-help-now,help-2,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
90,126,ready-thread,Find ATM,2,viet-family-money-find-atm,airport-4,money-find-atm,tier1,traveler-first,ATM gần nhất ở đâu?,Where is the nearest ATM?,money-numbers-prices,airport-4|price-1|price-4|price-2|price-3|price-5|price-6|price-7|v500-mone-numb-pric-the-atm-kept-my-card,airport-4,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
91,126,ready-thread,Fix AC,2,viet-family-food-coffee-black,coffee-2,food-coffee-black,tier1,traveler-first,Cho tôi cà phê đen đá,I’d like an iced black coffee,food-drink,coffee-2|coffee-1|food-2|coffee-3|coffee-4|food-3|food-4|food-5|food-6|food-7,coffee-2,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
92,126,ready-thread,Forgot item,2,viet-family-help-left-something,problems-4,help-left-something,tier1,traveler-first,Tôi quên đồ rồi,I left something behind,problems-help,problems-4|problems-1|help-3|help-need-help-direct|help-2|v500-prob-help-i-need-help-now,problems-4,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
93,126,ready-thread,Get table,2,viet-family-food-need-table,food-need-table,food-need-table,tier1,traveler-first,Cho tôi bàn cho hai người nhé,"A table for two, please",food-drink,food-need-table|coffee-1|food-2|coffee-2|coffee-3|food-3|food-4|food-5|food-6|food-7,food-need-table,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
94,126,ready-thread,Lost way,2,viet-family-help-lost,problems-1,help-lost,tier1,traveler-first,Tôi bị lạc đường,I’m lost,problems-help,problems-1|problems-4|help-3|help-need-help-direct|help-2|v500-prob-help-i-need-help-now,problems-1,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
95,126,ready-thread,Manager,1,viet-family-help-manager,help-3,help-manager,tier1,traveler-first,Tôi cần quản lý,I need the manager,problems-help,help-3|problems-1|help-2|problems-4|help-need-help-direct|v500-prob-help-i-need-help-now,help-3,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
96,126,ready-thread,Much per kilo?,3,viet-family-money-per-kilo,price-2,money-per-kilo,tier1,traveler-first,Bao nhiêu một ký?,How much per kilo?,money-numbers-prices,price-2|price-1|price-5|price-3|price-4|price-6|price-7|airport-4|v500-mone-numb-pric-the-atm-kept-my-card,price-2,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
97,126,ready-thread,Need help,2,viet-family-help-need-help,help-need-help-direct,help-need-help,tier1,traveler-first,Giúp tôi với,I need help,problems-help,help-need-help-direct|help-1|problems-1|help-3|problems-4|help-2|v500-prob-help-i-need-help-now,help-need-help-direct,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
98,126,ready-thread,One iced milk,3,viet-family-food-coffee-milk,coffee-1,food-coffee-milk,tier1,traveler-first,Cho tôi một cà phê sữa đá,One iced milk coffee please,food-drink,coffee-1|coffee-2|food-2|coffee-3|coffee-4|food-3|food-4|food-5|food-6|food-7,coffee-1,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
99,126,ready-thread,Peanut allergy,2,viet-family-food-peanut-allergy,food-peanut-allergy,food-peanut-allergy,tier1,traveler-first,Tôi bị dị ứng đậu phộng,I am allergic to peanuts,food-drink,food-peanut-allergy|food-15|coffee-1|food-1|coffee-2|coffee-3|food-2|food-3|food-4|food-5,food-peanut-allergy,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
100,126,ready-thread,Show another one,3,viet-family-money-another-one,price-6,money-another-one,tier1,traveler-first,Cho tôi xem cái khác,Show me another one,money-numbers-prices,price-6|price-1|price-4|price-2|price-3|price-5|price-7|airport-4|v500-mone-numb-pric-the-atm-kept-my-card,price-6,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
101,126,ready-thread,Take one,2,viet-family-money-take-this,price-7,money-take-this,tier1,traveler-first,Tôi lấy cái này,I’ll take this one,money-numbers-prices,price-7|price-1|price-4|price-2|price-3|price-5|price-6|airport-4|v500-mone-numb-pric-the-atm-kept-my-card,price-7,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
102,126,ready-thread,Too expensive,2,viet-family-money-too-expensive,price-3,money-too-expensive,tier1,traveler-first,Mắc quá,Too expensive,money-numbers-prices,price-3|price-1|price-5|price-2|price-4|price-6|price-7|airport-4|v500-mone-numb-pric-the-atm-kept-my-card,price-3,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
103,126,ready-thread,Whats your final,3,viet-family-money-final-price,price-5,money-final-price,tier1,traveler-first,Giá cuối bao nhiêu?,What’s your final price?,money-numbers-prices,price-5|price-1|price-4|price-2|price-3|price-6|price-7|airport-4|v500-mone-numb-pric-the-atm-kept-my-card,price-5,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
104,126,ready-thread,You lower little?,3,viet-family-money-lower-price,price-4,money-lower-price,tier1,traveler-first,Bớt chút được không?,Can you lower it a little?,money-numbers-prices,price-4|price-1|price-5|price-2|price-3|price-6|price-7|airport-4|v500-mone-numb-pric-the-atm-kept-my-card,price-4,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
105,124,ready-thread,Ask Wi-Fi,2,viet-family-phone-wifi-password,phone-1,phone-wifi-password,tier1,traveler-first,Mật khẩu Wi-Fi là gì?,What is the Wi-Fi password?,phone-internet-power,phone-1|phone-wifi-common|phone-2|phone-5|phone-3|phone-4|v500-phon-inte-powe-my-map-is-not-working|v500-phon-inte-powe-where-can-i-get-a-local-sim-card|v500-phon-inte-powe-i-need-an-esim,phone-1,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
106,124,ready-thread,Buy SIM,2,viet-family-v500-phon-inte-powe-where-can-i-get-a-local-sim-card,v500-phon-inte-powe-where-can-i-get-a-local-sim-card,v500-phon-inte-powe-where-can-i-get-a-local-sim-card,tier1,traveler-first,Tôi có thể mua SIM ở đâu?,Where can I get a local SIM card?,phone-internet-power,v500-phon-inte-powe-where-can-i-get-a-local-sim-card|phone-1|phone-4|phone-2|phone-3|phone-5|v500-phon-inte-powe-my-map-is-not-working|v500-phon-inte-powe-i-need-an-esim,v500-phon-inte-powe-where-can-i-get-a-local-sim-card,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
107,124,ready-thread,Charge phone here?,3,viet-family-phone-charge-here,phone-5,phone-charge-here,tier1,traveler-first,Tôi sạc điện thoại ở đây được không?,Can I charge my phone here?,phone-internet-power,phone-5|phone-1|phone-4|phone-2|phone-3|v500-phon-inte-powe-my-map-is-not-working|v500-phon-inte-powe-where-can-i-get-a-local-sim-card|v500-phon-inte-powe-i-need-an-esim,phone-5,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
108,124,ready-thread,Map working,2,viet-family-v500-phon-inte-powe-my-map-is-not-working,v500-phon-inte-powe-my-map-is-not-working,v500-phon-inte-powe-my-map-is-not-working,tier1,traveler-first,Bản đồ của tôi không hoạt động,My map is not working,phone-internet-power,v500-phon-inte-powe-my-map-is-not-working|phone-1|phone-4|phone-2|phone-3|phone-5|v500-phon-inte-powe-where-can-i-get-a-local-sim-card|v500-phon-inte-powe-i-need-an-esim,v500-phon-inte-powe-my-map-is-not-working,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
109,124,ready-thread,Phone battery dead,3,viet-family-phone-battery-dead,phone-3,phone-battery-dead,tier1,traveler-first,Điện thoại tôi hết pin rồi,My phone battery is dead,phone-internet-power,phone-3|phone-1|phone-5|phone-2|phone-4|v500-phon-inte-powe-my-map-is-not-working|v500-phon-inte-powe-where-can-i-get-a-local-sim-card|v500-phon-inte-powe-i-need-an-esim,phone-3,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
110,122,ready-thread,Find ATM,2,viet-family-v500-mone-numb-pric-the-atm-kept-my-card,v500-mone-numb-pric-the-atm-kept-my-card,v500-mone-numb-pric-the-atm-kept-my-card,tier1,traveler-first,ATM đã giữ thẻ của tôi,The ATM kept my card,money-numbers-prices,v500-mone-numb-pric-the-atm-kept-my-card|price-1|price-4|price-2|price-3|price-5|price-6|price-7|airport-4,v500-mone-numb-pric-the-atm-kept-my-card,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
111,122,ready-thread,Help now,2,viet-family-v500-prob-help-i-need-help-now,v500-prob-help-i-need-help-now,v500-prob-help-i-need-help-now,tier1,traveler-first,Tôi cần giúp đỡ bây giờ,I need help now,problems-help,v500-prob-help-i-need-help-now|problems-1|help-2|problems-4|help-need-help-direct|help-3,v500-prob-help-i-need-help-now,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
112,120,ready-thread,Buy ticket,2,viet-family-sight-ticket,sight-1,sight-ticket,tier1,traveler-first,Vé bao nhiêu?,How much is the ticket?,sightseeing-activities,sight-1|sight-2|sight-5|sight-3|sight-4|v500-sigh-acti-i-have-a-tour-booking,sight-1,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
113,120,ready-thread,Buy water,2,viet-family-service-water,store-1,service-water,tier1,traveler-first,Cho tôi chai nước,A bottle of water please,local-services-everyday-tasks,store-1|store-2|store-5|store-3|store-4|store-6|store-7|v500-loca-serv-ever-task-where-can-i-buy-water,store-1,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
114,120,ready-thread,Closing time,2,viet-family-sight-close,sight-4,sight-close,tier1,traveler-first,Mấy giờ đóng cửa?,What time does it close?,sightseeing-activities,sight-4|sight-1|sight-5|sight-2|sight-3|v500-sigh-acti-i-have-a-tour-booking,sight-4,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
115,120,ready-thread,Find meeting point,3,viet-family-sight-meeting-point,sight-5,sight-meeting-point,tier1,traveler-first,Điểm gặp ở đâu?,Where is the meeting point?,sightseeing-activities,sight-5|sight-1|sight-4|sight-2|sight-3|v500-sigh-acti-i-have-a-tour-booking,sight-5,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
116,120,ready-thread,Get receipt,2,viet-family-service-receipt,store-7,service-receipt,tier1,traveler-first,Cho tôi hóa đơn,Please give me the receipt,local-services-everyday-tasks,store-7|store-1|store-4|store-2|store-3|store-5|store-6|v500-loca-serv-ever-task-where-can-i-buy-water,store-7,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
117,120,ready-thread,Need bag,2,viet-family-service-bag,store-2,service-bag,tier1,traveler-first,Có túi không?,Do you have a bag?,local-services-everyday-tasks,store-2|store-1|store-5|store-3|store-4|store-6|store-7|v500-loca-serv-ever-task-where-can-i-buy-water,store-2,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
118,120,ready-thread,Need tissues,2,viet-family-service-tissues,store-3,service-tissues,tier1,traveler-first,Cho tôi khăn giấy,Tissues please,local-services-everyday-tasks,store-3|store-1|store-5|store-2|store-4|store-6|store-7|v500-loca-serv-ever-task-where-can-i-buy-water,store-3,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
119,120,ready-thread,Open,1,viet-family-service-open-this,store-5,service-open-this,tier1,traveler-first,Mở cái này giúp tôi,Please open this for me,local-services-everyday-tasks,store-5|store-1|store-4|store-2|store-3|store-6|store-7|v500-loca-serv-ever-task-where-can-i-buy-water,store-5,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
120,120,ready-thread,Pay by card?,3,viet-family-service-card,store-6,service-card,tier1,traveler-first,Tôi quẹt thẻ được không?,Can I pay by card?,local-services-everyday-tasks,store-6|store-1|store-4|store-2|store-3|store-5|store-7|v500-loca-serv-ever-task-where-can-i-buy-water,store-6,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
121,120,ready-thread,Tour booking,2,viet-family-v500-sigh-acti-i-have-a-tour-booking,v500-sigh-acti-i-have-a-tour-booking,v500-sigh-acti-i-have-a-tour-booking,tier1,traveler-first,Tôi có đặt tour,I have a tour booking,sightseeing-activities,v500-sigh-acti-i-have-a-tour-booking|sight-1|sight-4|sight-2|sight-3|sight-5,v500-sigh-acti-i-have-a-tour-booking,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
122,120,ready-thread,Tour start,2,viet-family-sight-start,sight-2,sight-start,tier1,traveler-first,Bắt đầu ở đâu?,Where do we start?,sightseeing-activities,sight-2|sight-1|sight-5|sight-3|sight-4|v500-sigh-acti-i-have-a-tour-booking,sight-2,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
123,116,ready-thread,Ask time,2,viet-family-time-what-time,time-1,time-what-time,tier1,traveler-first,Mấy giờ?,What time?,time-dates-booking,time-1|time-2|time-5|time-3|time-4|v500-time-date-book-is-there-a-wait|v500-time-date-book-one-ticket-please,time-1,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
124,116,ready-thread,Buy ticket,2,viet-family-v500-time-date-book-one-ticket-please,v500-time-date-book-one-ticket-please,v500-time-date-book-one-ticket-please,tier1,traveler-first,Xin một vé,"One ticket, please",time-dates-booking,v500-time-date-book-one-ticket-please|time-1|time-4|time-2|time-3|time-5|v500-time-date-book-is-there-a-wait,v500-time-date-book-one-ticket-please,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
125,116,ready-thread,Find buy water,3,viet-family-v500-loca-serv-ever-task-where-can-i-buy-water,v500-loca-serv-ever-task-where-can-i-buy-water,v500-loca-serv-ever-task-where-can-i-buy-water,tier1,traveler-first,Tôi có thể mua nước ở đâu?,Where can I buy water?,local-services-everyday-tasks,v500-loca-serv-ever-task-where-can-i-buy-water|store-1|store-4|store-2|store-3|store-5|store-6|store-7,v500-loca-serv-ever-task-where-can-i-buy-water,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
126,116,ready-thread,Find sunscreen,2,viet-family-service-sunscreen,store-4,service-sunscreen,tier1,traveler-first,Ở đâu có kem chống nắng?,Where is the sunscreen?,local-services-everyday-tasks,store-4|store-1|store-5|store-2|store-3|store-6|store-7|v500-loca-serv-ever-task-where-can-i-buy-water,store-4,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
127,116,ready-thread,Have booking,2,viet-family-time-have-booking,time-4,time-have-booking,tier1,traveler-first,Tôi có đặt chỗ,I have a booking,time-dates-booking,time-4|time-1|time-5|time-2|time-3|v500-time-date-book-is-there-a-wait|v500-time-date-book-one-ticket-please,time-4,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
128,116,ready-thread,Open today,2,viet-family-time-open,time-5,time-open,tier1,traveler-first,Mấy giờ mở cửa?,What time does it open?,time-dates-booking,time-5|time-1|time-4|time-2|time-3|v500-time-date-book-is-there-a-wait|v500-time-date-book-one-ticket-please,time-5,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
129,116,ready-thread,Take photo,2,viet-family-sight-photos,sight-3,sight-photos,tier1,traveler-first,Tôi chụp hình ở đây được không?,Can I take photos here?,sightseeing-activities,sight-3|sight-1|sight-5|sight-2|sight-4|v500-sigh-acti-i-have-a-tour-booking,sight-3,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
130,116,ready-thread,Today,1,viet-family-time-today,time-2,time-today,tier1,traveler-first,Hôm nay,Today,time-dates-booking,time-2|time-1|time-5|time-3|time-4|v500-time-date-book-is-there-a-wait|v500-time-date-book-one-ticket-please,time-2,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
131,116,ready-thread,Tomorrow morning,2,viet-family-time-tomorrow-morning,time-3,time-tomorrow-morning,tier1,traveler-first,Sáng mai,Tomorrow morning,time-dates-booking,time-3|time-1|time-5|time-2|time-4|v500-time-date-book-is-there-a-wait|v500-time-date-book-one-ticket-please,time-3,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
132,116,ready-thread,Wait?,1,viet-family-v500-time-date-book-is-there-a-wait,v500-time-date-book-is-there-a-wait,v500-time-date-book-is-there-a-wait,tier1,traveler-first,Có chờ đợi không?,Is there a wait?,time-dates-booking,v500-time-date-book-is-there-a-wait|time-1|time-4|time-2|time-3|time-5|v500-time-date-book-one-ticket-please,v500-time-date-book-is-there-a-wait,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
133,114,ready-thread,Food so good,3,viet-family-social-food-good,smalltalk-5,social-food-good,tier1,traveler-first,Đồ ăn ngon quá,The food is so good,social-small-talk,smalltalk-5|smalltalk-1|how-are-you-chi|smalltalk-2|smalltalk-3|how-are-you-em|smalltalk-4|smalltalk-6|smalltalk-7|smalltalk-di-dau-day,smalltalk-5,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
134,114,ready-thread,From England,2,viet-family-social-from-uk,smalltalk-2,social-from-uk,tier1,traveler-first,Tôi từ Anh,I’m from England,social-small-talk,smalltalk-2|smalltalk-1|how-are-you-chi|smalltalk-3|smalltalk-4|how-are-you-em|smalltalk-5|smalltalk-6|smalltalk-7|smalltalk-di-dau-day,smalltalk-2,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
135,114,ready-thread,From United States,3,viet-family-social-from-us,smalltalk-1,social-from-us,tier1,traveler-first,Tôi đến từ Mỹ,I’m from the United States,social-small-talk,smalltalk-1|smalltalk-2|how-are-you-chi|smalltalk-3|smalltalk-4|how-are-you-em|smalltalk-5|smalltalk-6|smalltalk-7|smalltalk-di-dau-day,smalltalk-1,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
136,114,ready-thread,Vietnam,1,viet-family-social-like-vietnam,smalltalk-4,social-like-vietnam,tier1,traveler-first,Tôi thích Việt Nam,I like Vietnam,social-small-talk,smalltalk-4|smalltalk-1|how-are-you-chi|smalltalk-2|smalltalk-3|how-are-you-em|smalltalk-5|smalltalk-6|smalltalk-7|smalltalk-di-dau-day,smalltalk-4,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
137,114,ready-thread,Weather so hot,3,viet-family-social-weather-hot,smalltalk-6,social-weather-hot,tier1,traveler-first,Thời tiết nóng quá,The weather is so hot,social-small-talk,smalltalk-6|smalltalk-1|how-are-you-chi|smalltalk-2|smalltalk-3|how-are-you-em|smalltalk-4|smalltalk-5|smalltalk-7|smalltalk-di-dau-day,smalltalk-6,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
138,110,ready-thread,First time,2,viet-family-social-first-time,smalltalk-3,social-first-time,tier1,traveler-first,Đây là lần đầu của tôi,This is my first time,social-small-talk,smalltalk-3|smalltalk-1|how-are-you-chi|smalltalk-2|smalltalk-4|how-are-you-em|smalltalk-5|smalltalk-6|smalltalk-7|smalltalk-di-dau-day,smalltalk-3,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
139,108,ready-thread,Go straight,2,viet-family-directions-go-straight,directions-6,directions-go-straight,tier1,traveler-first,Tôi đi thẳng phải không?,Should I go straight?,directions-navigation,directions-6|directions-1|directions-4|directions-2|directions-3|directions-5|directions-7|v500-dire-navi-where-is-the-nearest-restroom,directions-6,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
140,108,ready-thread,How long,2,viet-family-directions-how-long,directions-3,directions-how-long,tier1,traveler-first,Đi bộ mất bao lâu?,How long does it take on foot?,directions-navigation,directions-3|directions-1|directions-5|directions-2|directions-4|directions-6|directions-7|v500-dire-navi-where-is-the-nearest-restroom,directions-3,yes,manifest-ready,Enough existing phrase IDs for a short 4-5 turn conversation.
