rank,score,band,pageID,phraseID,familyID,scenarioID,scenarioTitle,vietnamese,english,pronunciation,accessTier,audioState,targetWordCount,englishWordCount,searchAliases,rationale
102,109,homepage-now,viet-da-chao-ba,acknowledge-da-chao-ba,acknowledge-da-chao-ba,polite-basics,Polite Basics,"Dạ, chào bà",Respectful hello to an elderly woman,yah chow bah,starter,manifest-ready,3,6,dạ chào bà|da chao ba|respectful hello elderly woman,starter|high-frequency-travel|short-vietnamese|audio-ready
103,109,homepage-now,viet-da-chao-anh,acknowledge-da-chao-anh,acknowledge-da-chao-anh,polite-basics,Polite Basics,"Dạ, chào anh",Respectful hello to an older man,yah chow anh,starter,manifest-ready,3,6,dạ chào anh|da chao anh|respectful hello older man,starter|high-frequency-travel|short-vietnamese|audio-ready
104,109,homepage-now,viet-da-chao-chi,acknowledge-da-chao-chi,acknowledge-da-chao-chi,polite-basics,Polite Basics,"Dạ, chào chị",Respectful hello to an older woman,yah chow chee,starter,manifest-ready,3,6,dạ chào chị|da chao chi|respectful hello older woman,starter|high-frequency-travel|short-vietnamese|audio-ready
105,109,homepage-now,viet-da-chao-chu,acknowledge-da-chao-chu,acknowledge-da-chao-chu,polite-basics,Polite Basics,"Dạ, chào chú",Respectful hello to an uncle-age man,yah chow choo,starter,manifest-ready,3,7,dạ chào chú|da chao chu|respectful hello uncle,starter|high-frequency-travel|short-vietnamese|audio-ready
106,107,homepage-now,viet-family-sight-ticket,sight-1,sight-ticket,sightseeing-activities,Sightseeing & Activities,Vé bao nhiêu?,How much is the ticket?,veh bao nyew,starter,manifest-ready,3,5,ticket price|ticket,starter|tier1-page|short-vietnamese|audio-ready
107,107,homepage-now,viet-family-food-peanut-allergy,food-peanut-allergy,food-peanut-allergy,food-drink,Food & Drink,Tôi bị dị ứng đậu phộng,I am allergic to peanuts,toy bee zee oong dow fohng,starter,manifest-ready,6,5,peanut allergy|allergic to peanuts,starter|tier1-page|high-frequency-travel|audio-ready
108,107,homepage-now,viet-family-food-coffee-black,coffee-2,food-coffee-black,food-drink,Food & Drink,Cho tôi cà phê đen đá,I’d like an iced black coffee,cho toy ka feh den dah,starter,manifest-ready,6,7,iced black coffee|black coffee,starter|tier1-page|high-frequency-travel|audio-ready
109,107,homepage-now,viet-family-airport-bag-missing,airport-6,airport-bag-missing,airport-border-arrival,Airport Border Arrival,Hành lý của tôi chưa tới,My bag did not arrive,han lee koo-ah toy choo toy,starter,manifest-ready,6,5,my bag did not arrive|lost bag,starter|tier1-page|high-frequency-travel|audio-ready
110,107,homepage-now,viet-family-phone-battery-dead,phone-3,phone-battery-dead,phone-internet-power,"Phone, Internet & Power",Điện thoại tôi hết pin rồi,My phone battery is dead,dyen thoai toy het pin roy,starter,manifest-ready,6,5,battery dead|phone dead,starter|tier1-page|high-frequency-travel|audio-ready
111,107,homepage-now,viet-family-repair-number,repair-6,repair-number,understanding-repair,When You Don't Understand,Làm ơn nói lại số đó,Please say the number again,lahm uhn noy lie soh doh,starter,manifest-ready,6,5,say the number again|number again,starter|tier1-page|high-frequency-travel|audio-ready
112,107,homepage-now,viet-family-phone-wifi-password,phone-1,phone-wifi-password,phone-internet-power,"Phone, Internet & Power",Mật khẩu Wi-Fi là gì?,What is the Wi-Fi password?,mat khau wai-fai la zee,starter,manifest-ready,6,6,wifi password|wi-fi|internet,starter|tier1-page|high-frequency-travel|audio-ready
113,107,homepage-now,viet-family-food-need-table,food-need-table,food-need-table,food-drink,Food & Drink,Cho tôi bàn cho hai người nhé,"A table for two, please",cho toy ban cho hai ngwee nhe,starter,manifest-ready,7,5,table for two|need a table,starter|tier1-page|high-frequency-travel|audio-ready
114,107,homepage-now,viet-family-bathroom-wash-hands,bath-4,bathroom-wash-hands,bathroom-personal-needs,Bathroom & Personal Needs,Tôi rửa tay ở đây được không?,Can I wash my hands here?,toy zoo-ah tai uh day dook khong,starter,manifest-ready,7,6,wash my hands,starter|tier1-page|high-frequency-travel|audio-ready
115,107,homepage-now,viet-family-transport-lost,transport-lost,transport-lost,transport,Transport,Tôi nghĩ chúng ta bị lạc rồi,I think we are lost,toy ngee choong ta bee lahk roy,starter,manifest-ready,7,5,we are lost|i think we are lost,starter|tier1-page|high-frequency-travel|audio-ready
116,107,homepage-now,viet-family-v500-phon-inte-powe-my-map-is-not-working,v500-phon-inte-powe-my-map-is-not-working,v500-phon-inte-powe-my-map-is-not-working,phone-internet-power,"Phone, Internet & Power",Bản đồ của tôi không hoạt động,My map is not working,Ban do cua toi khong hoat dong,starter,manifest-ready,7,5,my map is not working,starter|tier1-page|high-frequency-travel|audio-ready
117,107,homepage-now,viet-family-food-coffee-milk,coffee-1,food-coffee-milk,food-drink,Food & Drink,Cho tôi một cà phê sữa đá,One iced milk coffee please,cho toy mot ka feh sue-ah dah,starter,manifest-ready,7,5,iced milk coffee|coffee with milk,starter|tier1-page|high-frequency-travel|audio-ready
118,106,homepage-now,viet-acknowledge-khong,acknowledge-khong,acknowledge-khong,polite-basics,Polite Basics,Không,No,khong,starter,manifest-ready,1,1,không|khong|no,starter|high-frequency-travel|short-vietnamese|audio-ready
119,106,homepage-now,viet-acknowledge-duoc,acknowledge-duoc,acknowledge-duoc,polite-basics,Polite Basics,Được,Okay / that works,duhk,starter,manifest-ready,1,3,được|duoc|okay|that works,starter|high-frequency-travel|short-vietnamese|audio-ready
120,106,homepage-now,viet-acknowledge-dung,v500-poli-basi-yes,v500-poli-basi-yes,polite-basics,Polite Basics,Đúng,Yes,Dung,starter,manifest-ready,1,1,yes,starter|high-frequency-travel|short-vietnamese|audio-ready
