"phrase_id","scenario_id","family_id","family_title","family_summary","audio_key","english_text","target_text","canonical_target_text","pronunciation","access_tier","variant_role","context","you_may_hear","search_aliases","warning_note_type","audio_status","emoji","notes","status"
"v500-poli-basi-sorry","polite-basics","v500-poli-basi-sorry","Sorry","Use this when you need to say sorry.","v500-poli-basi-sorry","Sorry","Láº¥y lÃ m tiáº¿c","Láº¥y lÃ m tiáº¿c","Lay lam tiec","premium","say-first","Use this in short everyday travel exchanges when you want to stay polite without overexplaining.","","sorry","","planned","ðŸ™","autonomous-500 cleanup historical source-lane record: Essentials & Politeness / Thanks & Apologies / keep_as_is; selected as premium fill in the historical lane; current live Viet seam already covers this row","approved"
"v500-poli-basi-excuse-me","polite-basics","v500-poli-basi-excuse-me","Excuse me","Use this when you need to say excuse me.","v500-poli-basi-excuse-me","Excuse me","Xin lá»—i","Xin lá»—i","Xin loi","premium","say-first","Use this in short everyday travel exchanges when you want to stay polite without overexplaining.","","excuse me","","planned","ðŸ™","autonomous-500 cleanup historical source-lane record: Essentials & Politeness / Greetings & Starts / keep_as_is; selected as premium fill in the historical lane; current live Viet seam already covers this row","approved"
"v500-poli-basi-i-need-this","polite-basics","v500-poli-basi-i-need-this","I need this","Use this when you need to explain that i need this.","v500-poli-basi-i-need-this","I need this","tÃ´i cáº§n cÃ¡i nÃ y","tÃ´i cáº§n cÃ¡i nÃ y","toi can cai nay","premium","say-first","Use this in short everyday travel exchanges when you want to stay polite without overexplaining.","","i need this","","planned","ðŸ™","autonomous-500 cleanup historical source-lane record: Essentials & Politeness / Simple Needs / keep_as_is; selected as premium fill in the historical lane; current live Viet seam already covers this row","approved"
"v500-poli-basi-thats-okay","polite-basics","v500-poli-basi-thats-okay","Thatâ€™s okay","Use this when you need to say thatâ€™s okay.","v500-poli-basi-thats-okay","Thatâ€™s okay","KhÃ´ng sao Ä‘Ã¢u","KhÃ´ng sao Ä‘Ã¢u","Khong sao dau","premium","say-first","Use this in short everyday travel exchanges when you want to stay polite without overexplaining.","","thatâ€™s okay|that s okay","","planned","ðŸ™","autonomous-500 cleanup historical source-lane record: Essentials & Politeness / Closings & Politeness Repair / keep_as_is; selected as premium fill in the historical lane; current live Viet seam already covers this row","approved"
"v500-unde-repa-how-much-did-you-say","understanding-repair","v500-unde-repa-how-much-did-you-say","How much did you say","Ask this when you need how much did you say.","v500-unde-repa-how-much-did-you-say","How much did you say?","Báº¡n Ä‘Ã£ nÃ³i bao nhiÃªu?","Báº¡n Ä‘Ã£ nÃ³i bao nhiÃªu?","Ban da noi bao nhieu","premium","say-first","Use this when the conversation is stuck and you need a clearer next step fast.","","how much did you say?|how much did you say","","planned","ðŸ§©","autonomous-500 cleanup historical source-lane record: Language Repair & Clarifying / Numbers, Names & Details / keep_as_is; selected as premium fill in the historical lane; current live Viet seam already covers this row","approved"
"v500-unde-repa-can-you-show-me-on-the-map","understanding-repair","v500-unde-repa-can-you-show-me-on-the-map","Can you show me on the map","Ask this when you need can you show me on the map.","v500-unde-repa-can-you-show-me-on-the-map","Can you show me on the map?","Báº¡n cÃ³ thá»ƒ chá»‰ cho tÃ´i trÃªn báº£n Ä‘á»“ Ä‘Æ°á»£c khÃ´ng?","Báº¡n cÃ³ thá»ƒ chá»‰ cho tÃ´i trÃªn báº£n Ä‘á»“ Ä‘Æ°á»£c khÃ´ng?","Ban co the chi cho toi tren ban do duoc khong","premium","say-first","Use this when the conversation is stuck and you need a clearer next step fast.","","can you show me on the map?|can you show me on the map","","planned","ðŸ§©","autonomous-500 cleanup historical source-lane record: Language Repair & Clarifying / Write, Show & Point / keep_as_is; selected as premium fill in the historical lane; current live Viet seam already covers this row","approved"
"v500-unde-repa-sorry-i-dont-speak-vietnamese","understanding-repair","v500-unde-repa-sorry-i-dont-speak-vietnamese","Sorry, I donâ€™t speak Vietnamese","Use this when you need to say sorry, i donâ€™t speak vietnamese.","v500-unde-repa-sorry-i-dont-speak-vietnamese","Sorry, I donâ€™t speak Vietnamese","Xin lá»—i, tÃ´i khÃ´ng nÃ³i Ä‘Æ°á»£c tiáº¿ng Viá»‡t","Xin lá»—i, tÃ´i khÃ´ng nÃ³i Ä‘Æ°á»£c tiáº¿ng Viá»‡t","Xin loi toi khong noi duoc tieng Viet","premium","say-first","Use this when the conversation is stuck and you need a clearer next step fast.","","sorry, i donâ€™t speak vietnamese|sorry i don t speak vietnamese","","planned","ðŸ§©","autonomous-500 cleanup historical source-lane record: Language Repair & Clarifying / Repair When Stuck / keep_as_is; selected as premium fill in the historical lane; current live Viet seam already covers this row","approved"
"v500-unde-repa-please-point-to-it","understanding-repair","v500-unde-repa-please-point-to-it","Please point to it","Use this when you need direct help with the next step.","v500-unde-repa-please-point-to-it","Please point to it","HÃ£y chá»‰ vÃ o nÃ³","HÃ£y chá»‰ vÃ o nÃ³","Hay chi vao no","premium","say-first","Use this when the conversation is stuck and you need a clearer next step fast.","","please point to it","","planned","ðŸ§©","autonomous-500 cleanup historical source-lane record: Language Repair & Clarifying / Write, Show & Point / keep_as_is; selected as premium fill in the historical lane; current live Viet seam already covers this row","approved"
"v500-unde-repa-is-that-per-person","understanding-repair","v500-unde-repa-is-that-per-person","Is that per person","Ask this when you need is that per person.","v500-unde-repa-is-that-per-person","Is that per person?","ÄÃ³ cÃ³ pháº£i lÃ  má»—i ngÆ°á»i?","ÄÃ³ cÃ³ pháº£i lÃ  má»—i ngÆ°á»i?","Do co phai la moi nguoi","premium","say-first","Use this when the conversation is stuck and you need a clearer next step fast.","","is that per person?|is that per person","","planned","ðŸ§©","autonomous-500 cleanup historical source-lane record: Language Repair & Clarifying / Numbers, Names & Details / keep_as_is; selected as premium fill in the historical lane; current live Viet seam already covers this row","approved"
"v500-unde-repa-please-mark-it-here","understanding-repair","v500-unde-repa-please-mark-it-here","Please mark it here","Use this when you need direct help with the next step.","v500-unde-repa-please-mark-it-here","Please mark it here","HÃ£y Ä‘Ã¡nh dáº¥u nÃ³ á»Ÿ Ä‘Ã¢y","HÃ£y Ä‘Ã¡nh dáº¥u nÃ³ á»Ÿ Ä‘Ã¢y","Hay danh dau no o day","premium","say-first","Use this when the conversation is stuck and you need a clearer next step fast.","","please mark it here","","planned","ðŸ§©","autonomous-500 cleanup historical source-lane record: Language Repair & Clarifying / Write, Show & Point / keep_as_is; selected as premium fill in the historical lane; current live Viet seam already covers this row","approved"
"v500-unde-repa-is-that-good-or-bad","understanding-repair","v500-unde-repa-is-that-good-or-bad","Is that good or bad","Ask this when you need is that good or bad.","v500-unde-repa-is-that-good-or-bad","Is that good or bad?","Äiá»u Ä‘Ã³ tá»‘t hay xáº¥u?","Äiá»u Ä‘Ã³ tá»‘t hay xáº¥u?","Dieu do tot hay xau","premium","say-first","Use this when the conversation is stuck and you need a clearer next step fast.","","is that good or bad?|is that good or bad","","planned","ðŸ§©","autonomous-500 cleanup historical source-lane record: Language Repair & Clarifying / Understand & Meaning / keep_as_is; selected as premium fill in the historical lane; current live Viet seam already covers this row","approved"
"v500-unde-repa-do-you-mean-this-one","understanding-repair","v500-unde-repa-do-you-mean-this-one","Do you mean this one","Ask this when you need do you mean this one.","v500-unde-repa-do-you-mean-this-one","Do you mean this one?","Ã báº¡n lÃ  cÃ¡i nÃ y pháº£i khÃ´ng?","Ã báº¡n lÃ  cÃ¡i nÃ y pháº£i khÃ´ng?","Y ban la cai nay phai khong","premium","say-first","Use this when the conversation is stuck and you need a clearer next step fast.","","do you mean this one?|do you mean this one","","planned","ðŸ§©","autonomous-500 cleanup historical source-lane record: Language Repair & Clarifying / Understand & Meaning / keep_as_is; selected as premium fill in the historical lane; current live Viet seam already covers this row","approved"
"v500-unde-repa-i-understand-a-little","understanding-repair","v500-unde-repa-i-understand-a-little","I understand a little","Use this when you need to explain that i understand a little.","v500-unde-repa-i-understand-a-little","I understand a little","TÃ´i hiá»ƒu má»™t chÃºt","TÃ´i hiá»ƒu má»™t chÃºt","Toi hieu mot chut","premium","say-first","Use this when the conversation is stuck and you need a clearer next step fast.","","i understand a little","","planned","ðŸ§©","autonomous-500 cleanup historical source-lane record: Language Repair & Clarifying / Understand & Meaning / keep_as_is; selected as premium fill in the historical lane; current live Viet seam already covers this row","approved"
"v500-unde-repa-i-missed-what-you-said","understanding-repair","v500-unde-repa-i-missed-what-you-said","I missed what you said","Use this when you need to explain that i missed what you said.","v500-unde-repa-i-missed-what-you-said","I missed what you said","TÃ´i Ä‘Ã£ bá» lá»¡ nhá»¯ng gÃ¬ báº¡n nÃ³i","TÃ´i Ä‘Ã£ bá» lá»¡ nhá»¯ng gÃ¬ báº¡n nÃ³i","Toi da bo lo nhung gi ban noi","premium","say-first","Use this when the conversation is stuck and you need a clearer next step fast.","","i missed what you said","","planned","ðŸ§©","autonomous-500 cleanup historical source-lane record: Language Repair & Clarifying / Repeat & Slow Down / keep_as_is; selected as premium fill in the historical lane; current live Viet seam already covers this row","approved"
"v500-unde-repa-okay-now-i-understand","understanding-repair","v500-unde-repa-okay-now-i-understand","Okay, now I understand","Use this when you need to say okay, now i understand.","v500-unde-repa-okay-now-i-understand","Okay, now I understand","ÄÆ°á»£c rá»“i, bÃ¢y giá» tÃ´i Ä‘Ã£ hiá»ƒu","ÄÆ°á»£c rá»“i, bÃ¢y giá» tÃ´i Ä‘Ã£ hiá»ƒu","Duoc roi bay gio toi da hieu","premium","say-first","Use this when the conversation is stuck and you need a clearer next step fast.","","okay, now i understand|okay now i understand","","planned","ðŸ§©","autonomous-500 cleanup historical source-lane record: Language Repair & Clarifying / Understand & Meaning / keep_as_is; selected as premium fill in the historical lane; current live Viet seam already covers this row","approved"
"v500-unde-repa-can-you-spell-the-name","understanding-repair","v500-unde-repa-can-you-spell-the-name","Can you spell the name","Ask this when you need can you spell the name.","v500-unde-repa-can-you-spell-the-name","Can you spell the name?","Báº¡n cÃ³ thá»ƒ Ä‘Ã¡nh váº§n tÃªn Ä‘Æ°á»£c khÃ´ng?","Báº¡n cÃ³ thá»ƒ Ä‘Ã¡nh váº§n tÃªn Ä‘Æ°á»£c khÃ´ng?","Ban co the danh van ten duoc khong","premium","say-first","Use this when the conversation is stuck and you need a clearer next step fast.","","can you spell the name?|can you spell the name","","planned","ðŸ§©","autonomous-500 cleanup historical source-lane record: Language Repair & Clarifying / Numbers, Names & Details / keep_as_is; selected as premium fill in the historical lane; current live Viet seam already covers this row","approved"
"v500-unde-repa-can-you-write-the-time","understanding-repair","v500-unde-repa-can-you-write-the-time","Can you write the time","Ask this when you need can you write the time.","v500-unde-repa-can-you-write-the-time","Can you write the time?","Báº¡n cÃ³ thá»ƒ viáº¿t thá»i gian Ä‘Æ°á»£c khÃ´ng?","Báº¡n cÃ³ thá»ƒ viáº¿t thá»i gian Ä‘Æ°á»£c khÃ´ng?","Ban co the viet thoi gian duoc khong","premium","say-first","Use this when the conversation is stuck and you need a clearer next step fast.","","can you write the time?|can you write the time","","planned","ðŸ§©","autonomous-500 cleanup historical source-lane record: Language Repair & Clarifying / Numbers, Names & Details / keep_as_is; selected as premium fill in the historical lane; current live Viet seam already covers this row","approved"
"v500-unde-repa-let-me-show-you-instead","understanding-repair","v500-unde-repa-let-me-show-you-instead","Let me show you instead","Use this when you need to say let me show you instead.","v500-unde-repa-let-me-show-you-instead","Let me show you instead","Thay vÃ o Ä‘Ã³ hÃ£y Ä‘á»ƒ tÃ´i chá»‰ cho báº¡n","Thay vÃ o Ä‘Ã³ hÃ£y Ä‘á»ƒ tÃ´i chá»‰ cho báº¡n","Thay vao do hay de toi chi cho ban","premium","say-first","Use this when the conversation is stuck and you need a clearer next step fast.","","let me show you instead","","planned","ðŸ§©","autonomous-500 cleanup historical source-lane record: Language Repair & Clarifying / Repair When Stuck / keep_as_is; selected as premium fill in the historical lane; current live Viet seam already covers this row","approved"
"v500-unde-repa-can-you-write-the-price","understanding-repair","v500-unde-repa-can-you-write-the-price","Can you write the price","Ask this when you need can you write the price.","v500-unde-repa-can-you-write-the-price","Can you write the price?","Báº¡n cÃ³ thá»ƒ viáº¿t giÃ¡ Ä‘Æ°á»£c khÃ´ng?","Báº¡n cÃ³ thá»ƒ viáº¿t giÃ¡ Ä‘Æ°á»£c khÃ´ng?","Ban co the viet gia duoc khong","premium","say-first","Use this when the conversation is stuck and you need a clearer next step fast.","","can you write the price?|can you write the price","","planned","ðŸ§©","autonomous-500 cleanup historical source-lane record: Language Repair & Clarifying / Numbers, Names & Details / keep_as_is; selected as premium fill in the historical lane; current live Viet seam already covers this row","approved"
"v500-unde-repa-is-that-the-final-total","understanding-repair","v500-unde-repa-is-that-the-final-total","Is that the final total","Ask this when you need is that the final total.","v500-unde-repa-is-that-the-final-total","Is that the final total?","ÄÃ³ cÃ³ pháº£i lÃ  tá»•ng sá»‘ cuá»‘i cÃ¹ng?","ÄÃ³ cÃ³ pháº£i lÃ  tá»•ng sá»‘ cuá»‘i cÃ¹ng?","Do co phai la tong so cuoi cung","premium","say-first","Use this when the conversation is stuck and you need a clearer next step fast.","","is that the final total?|is that the final total","","planned","ðŸ§©","autonomous-500 cleanup historical source-lane record: Language Repair & Clarifying / Numbers, Names & Details / keep_as_is; selected as premium fill in the historical lane; current live Viet seam already covers this row","approved"
"v500-unde-repa-that-is-not-what-i-meant","understanding-repair","v500-unde-repa-that-is-not-what-i-meant","That is not what I meant","Use this when you need to say that is not what i meant.","v500-unde-repa-that-is-not-what-i-meant","That is not what I meant","ÄÃ³ khÃ´ng pháº£i lÃ  Ã½ tÃ´i","ÄÃ³ khÃ´ng pháº£i lÃ  Ã½ tÃ´i","Do khong phai la y toi","premium","say-first","Use this when the conversation is stuck and you need a clearer next step fast.","","that is not what i meant","","planned","ðŸ§©","autonomous-500 cleanup historical source-lane record: Language Repair & Clarifying / Repair When Stuck / keep_as_is; selected as premium fill in the historical lane; current live Viet seam already covers this row","approved"
"v500-unde-repa-is-this-the-right-number","understanding-repair","v500-unde-repa-is-this-the-right-number","Is this the right number","Ask this when you need is this the right number.","v500-unde-repa-is-this-the-right-number","Is this the right number?","ÄÃ¢y cÃ³ pháº£i lÃ  con sá»‘ Ä‘Ãºng khÃ´ng?","ÄÃ¢y cÃ³ pháº£i lÃ  con sá»‘ Ä‘Ãºng khÃ´ng?","Day co phai la con so dung khong","premium","say-first","Use this when the conversation is stuck and you need a clearer next step fast.","","is this the right number?|is this the right number","","planned","ðŸ§©","autonomous-500 cleanup historical source-lane record: Language Repair & Clarifying / Numbers, Names & Details / keep_as_is; selected as premium fill in the historical lane; current live Viet seam already covers this row","approved"
"v500-unde-repa-please-be-patient-with-me","understanding-repair","v500-unde-repa-please-be-patient-with-me","Please be patient with me","Use this when you need direct help with the next step.","v500-unde-repa-please-be-patient-with-me","Please be patient with me","Xin hÃ£y kiÃªn nháº«n vá»›i tÃ´i","Xin hÃ£y kiÃªn nháº«n vá»›i tÃ´i","Xin hay kien nhan voi toi","premium","say-first","Use this when the conversation is stuck and you need a clearer next step fast.","","please be patient with me","","planned","ðŸ§©","autonomous-500 cleanup historical source-lane record: Language Repair & Clarifying / Repair When Stuck / keep_as_is; selected as premium fill in the historical lane; current live Viet seam already covers this row","approved"
"v500-unde-repa-can-you-show-me-a-picture","understanding-repair","v500-unde-repa-can-you-show-me-a-picture","Can you show me a picture","Ask this when you need can you show me a picture.","v500-unde-repa-can-you-show-me-a-picture","Can you show me a picture?","Báº¡n cÃ³ thá»ƒ cho tÃ´i xem má»™t bá»©c áº£nh Ä‘Æ°á»£c khÃ´ng?","Báº¡n cÃ³ thá»ƒ cho tÃ´i xem má»™t bá»©c áº£nh Ä‘Æ°á»£c khÃ´ng?","Ban co the cho toi xem mot buc anh duoc khong","premium","say-first","Use this when the conversation is stuck and you need a clearer next step fast.","","can you show me a picture?|can you show me a picture","","planned","ðŸ§©","autonomous-500 cleanup historical source-lane record: Language Repair & Clarifying / Write, Show & Point / keep_as_is; selected as premium fill in the historical lane; current live Viet seam already covers this row","approved"
"v500-unde-repa-can-you-write-the-address","understanding-repair","v500-unde-repa-can-you-write-the-address","Can you write the address","Ask this when you need can you write the address.","v500-unde-repa-can-you-write-the-address","Can you write the address?","Báº¡n cÃ³ thá»ƒ viáº¿t Ä‘á»‹a chá»‰ Ä‘Æ°á»£c khÃ´ng?","Báº¡n cÃ³ thá»ƒ viáº¿t Ä‘á»‹a chá»‰ Ä‘Æ°á»£c khÃ´ng?","Ban co the viet dia chi duoc khong","premium","say-first","Use this when the conversation is stuck and you need a clearer next step fast.","","can you write the address?|can you write the address","","planned","ðŸ§©","autonomous-500 cleanup historical source-lane record: Language Repair & Clarifying / Write, Show & Point / keep_as_is; selected as premium fill in the historical lane; current live Viet seam already covers this row","approved"
"v500-unde-repa-please-speak-into-my-phone","understanding-repair","v500-unde-repa-please-speak-into-my-phone","Please speak into my phone","Use this when you need direct help with the next step.","v500-unde-repa-please-speak-into-my-phone","Please speak into my phone","HÃ£y nÃ³i vÃ o Ä‘iá»‡n thoáº¡i cá»§a tÃ´i","HÃ£y nÃ³i vÃ o Ä‘iá»‡n thoáº¡i cá»§a tÃ´i","Hay noi vao dien thoai cua toi","premium","say-first","Use this when the conversation is stuck and you need a clearer next step fast.","","please speak into my phone","","planned","ðŸ§©","autonomous-500 cleanup historical source-lane record: Language Repair & Clarifying / English Help & Translation / keep_as_is; selected as premium fill in the historical lane; current live Viet seam already covers this row","approved"
"v500-unde-repa-please-show-me-where-to-tap","understanding-repair","v500-unde-repa-please-show-me-where-to-tap","Please show me where to tap","Use this when you need direct help with the next step.","v500-unde-repa-please-show-me-where-to-tap","Please show me where to tap","Vui lÃ²ng chá»‰ cho tÃ´i nÆ¡i Ä‘á»ƒ nháº¥n","Vui lÃ²ng chá»‰ cho tÃ´i nÆ¡i Ä‘á»ƒ nháº¥n","Vui long chi cho toi noi de nhan","premium","say-first","Use this when the conversation is stuck and you need a clearer next step fast.","","please show me where to tap","","planned","ðŸ§©","autonomous-500 cleanup historical source-lane record: Language Repair & Clarifying / Write, Show & Point / keep_as_is; selected as premium fill in the historical lane; current live Viet seam already covers this row","approved"
"v500-unde-repa-thank-you-for-understanding","understanding-repair","v500-unde-repa-thank-you-for-understanding","Thank you for understanding","Use this when you need to say thank you for understanding.","v500-unde-repa-thank-you-for-understanding","Thank you for understanding","Cáº£m Æ¡n báº¡n Ä‘Ã£ hiá»ƒu","Cáº£m Æ¡n báº¡n Ä‘Ã£ hiá»ƒu","Cam on ban da hieu","premium","say-first","Use this when the conversation is stuck and you need a clearer next step fast.","","thank you for understanding","","planned","ðŸ§©","autonomous-500 cleanup historical source-lane record: Language Repair & Clarifying / Repair When Stuck / keep_as_is; selected as premium fill in the historical lane; current live Viet seam already covers this row","approved"
"v500-unde-repa-can-i-use-a-translation-app","understanding-repair","v500-unde-repa-can-i-use-a-translation-app","Can I use a translation app","Ask this when you need can i use a translation app.","v500-unde-repa-can-i-use-a-translation-app","Can I use a translation app?","TÃ´i cÃ³ thá»ƒ sá»­ dá»¥ng á»©ng dá»¥ng dá»‹ch thuáº­t khÃ´ng?","TÃ´i cÃ³ thá»ƒ sá»­ dá»¥ng á»©ng dá»¥ng dá»‹ch thuáº­t khÃ´ng?","Toi co the su dung ung dung dich thuat khong","premium","say-first","Use this when the conversation is stuck and you need a clearer next step fast.","","can i use a translation app?|can i use a translation app","","planned","ðŸ§©","autonomous-500 cleanup historical source-lane record: Language Repair & Clarifying / English Help & Translation / keep_as_is; selected as premium fill in the historical lane; current live Viet seam already covers this row","approved"
"v500-unde-repa-i-dont-understand-this-word","understanding-repair","v500-unde-repa-i-dont-understand-this-word","I donâ€™t understand this word","Use this when you need to explain that i donâ€™t understand this word.","v500-unde-repa-i-dont-understand-this-word","I donâ€™t understand this word","TÃ´i khÃ´ng hiá»ƒu tá»« nÃ y","TÃ´i khÃ´ng hiá»ƒu tá»« nÃ y","Toi khong hieu tu nay","premium","say-first","Use this when the conversation is stuck and you need a clearer next step fast.","","i donâ€™t understand this word|i don t understand this word","","planned","ðŸ§©","autonomous-500 cleanup historical source-lane record: Language Repair & Clarifying / Understand & Meaning / keep_as_is; selected as premium fill in the historical lane; current live Viet seam already covers this row","approved"
"v500-unde-repa-is-this-translation-correct","understanding-repair","v500-unde-repa-is-this-translation-correct","Is this translation correct","Ask this when you need is this translation correct.","v500-unde-repa-is-this-translation-correct","Is this translation correct?","Báº£n dá»‹ch nÃ y cÃ³ Ä‘Ãºng khÃ´ng?","Báº£n dá»‹ch nÃ y cÃ³ Ä‘Ãºng khÃ´ng?","Ban dich nay co dung khong","premium","say-first","Use this when the conversation is stuck and you need a clearer next step fast.","","is this translation correct?|is this translation correct","","planned","ðŸ§©","autonomous-500 cleanup historical source-lane record: Language Repair & Clarifying / English Help & Translation / keep_as_is; selected as premium fill in the historical lane; current live Viet seam already covers this row","approved"
"v500-unde-repa-can-you-repeat-the-last-part","understanding-repair","v500-unde-repa-can-you-repeat-the-last-part","Can you repeat the last part","Ask this when you need can you repeat the last part.","v500-unde-repa-can-you-repeat-the-last-part","Can you repeat the last part?","Báº¡n cÃ³ thá»ƒ nháº¯c láº¡i pháº§n cuá»‘i Ä‘Æ°á»£c khÃ´ng?","Báº¡n cÃ³ thá»ƒ nháº¯c láº¡i pháº§n cuá»‘i Ä‘Æ°á»£c khÃ´ng?","Ban co the nhac lai phan cuoi duoc khong","premium","say-first","Use this when the conversation is stuck and you need a clearer next step fast.","","can you repeat the last part?|can you repeat the last part","","planned","ðŸ§©","autonomous-500 cleanup historical source-lane record: Language Repair & Clarifying / Repeat & Slow Down / keep_as_is; selected as premium fill in the historical lane; current live Viet seam already covers this row","approved"
"v500-unde-repa-is-this-the-place-on-the-map","understanding-repair","v500-unde-repa-is-this-the-place-on-the-map","Is this the place on the map","Ask this when you need is this the place on the map.","v500-unde-repa-is-this-the-place-on-the-map","Is this the place on the map?","ÄÃ¢y cÃ³ pháº£i lÃ  Ä‘á»‹a Ä‘iá»ƒm trÃªn báº£n Ä‘á»“ khÃ´ng?","ÄÃ¢y cÃ³ pháº£i lÃ  Ä‘á»‹a Ä‘iá»ƒm trÃªn báº£n Ä‘á»“ khÃ´ng?","Day co phai la dia diem tren ban do khong","premium","say-first","Use this when the conversation is stuck and you need a clearer next step fast.","","is this the place on the map?|is this the place on the map","","planned","ðŸ§©","autonomous-500 cleanup historical source-lane record: Language Repair & Clarifying / Write, Show & Point / keep_rewrite; selected as premium fill in the historical lane; current live Viet seam already covers this row","approved"
"v500-unde-repa-please-type-it-into-my-phone","understanding-repair","v500-unde-repa-please-type-it-into-my-phone","Please type it into my phone","Use this when you need direct help with the next step.","v500-unde-repa-please-type-it-into-my-phone","Please type it into my phone.","HÃ£y gÃµ nÃ³ vÃ o Ä‘iá»‡n thoáº¡i cá»§a tÃ´i.","HÃ£y gÃµ nÃ³ vÃ o Ä‘iá»‡n thoáº¡i cá»§a tÃ´i.","Hay go no vao dien thoai cua toi","premium","say-first","Use this when the conversation is stuck and you need a clearer next step fast.","","please type it into my phone.|please type it into my phone","","planned","ðŸ§©","autonomous-500 cleanup historical source-lane record: Language Repair & Clarifying / Write, Show & Point / keep_rewrite; selected as premium fill in the historical lane; current live Viet seam already covers this row","approved"
"v500-tran-do-you-have-a-helmet","transport","v500-tran-do-you-have-a-helmet","Do you have a helmet","Ask this when you need do you have a helmet.","v500-tran-do-you-have-a-helmet","Do you have a helmet?","Báº¡n cÃ³ mÅ© báº£o hiá»ƒm khÃ´ng?","Báº¡n cÃ³ mÅ© báº£o hiá»ƒm khÃ´ng?","Ban co mu bao hiem khong","premium","say-first","Use this during rides, stations, pickups, or route changes when the trip could go sideways.","","do you have a helmet?|do you have a helmet","","planned","ðŸš•","autonomous-500 cleanup historical source-lane record: Getting Around / Motorbike, Boat & Rentals / keep_as_is; selected as premium fill in the historical lane; current live Viet seam already covers this row","approved"
"v500-tran-please-let-me-out-here","transport","v500-tran-please-let-me-out-here","Please let me out here","Use this when you need direct help with the next step.","v500-tran-please-let-me-out-here","Please let me out here","Xin vui lÃ²ng cho tÃ´i ra khá»i Ä‘Ã¢y","Xin vui lÃ²ng cho tÃ´i ra khá»i Ä‘Ã¢y","Xin vui long cho toi ra khoi day","premium","say-first","Use this during rides, stations, pickups, or route changes when the trip could go sideways.","","please let me out here","","planned","ðŸš•","autonomous-500 cleanup historical source-lane record: Getting Around / Transport Problems & Recovery / keep_as_is; selected as premium fill in the historical lane; current live Viet seam already covers this row","approved"
"v500-tran-please-stop-right-here","transport","v500-tran-please-stop-right-here","Please stop right here","Use this when you need direct help with the next step.","v500-tran-please-stop-right-here","Please stop right here","Xin dá»«ng láº¡i á»Ÿ Ä‘Ã¢y","Xin dá»«ng láº¡i á»Ÿ Ä‘Ã¢y","Xin dung lai o day","premium","say-first","Use this during rides, stations, pickups, or route changes when the trip could go sideways.","","please stop right here","","planned","ðŸš•","autonomous-500 cleanup historical source-lane record: Getting Around / Destination & Routing / keep_as_is; selected as premium fill in the historical lane; current live Viet seam already covers this row","approved"
"v500-tran-does-this-bus-go-there","transport","v500-tran-does-this-bus-go-there","Does this bus go there","Ask this when you need does this bus go there.","v500-tran-does-this-bus-go-there","Does this bus go there?","Xe buÃ½t nÃ y cÃ³ Ä‘i Ä‘áº¿n Ä‘Ã³ khÃ´ng?","Xe buÃ½t nÃ y cÃ³ Ä‘i Ä‘áº¿n Ä‘Ã³ khÃ´ng?","Xe buyt nay co di den do khong","premium","say-first","Use this during rides, stations, pickups, or route changes when the trip could go sideways.","","does this bus go there?|does this bus go there","","planned","ðŸš•","autonomous-500 cleanup historical source-lane record: Getting Around / Bus, Train & Metro / keep_rewrite; selected as premium fill in the historical lane; current live Viet seam already covers this row","approved"
"v500-tran-i-feel-unsafe-please-stop","transport","v500-tran-i-feel-unsafe-please-stop","I feel unsafe, please stop","Use this when you need to explain that i feel unsafe, please stop.","v500-tran-i-feel-unsafe-please-stop","I feel unsafe, please stop","TÃ´i cáº£m tháº¥y khÃ´ng an toÃ n, xin hÃ£y dá»«ng láº¡i","TÃ´i cáº£m tháº¥y khÃ´ng an toÃ n, xin hÃ£y dá»«ng láº¡i","Toi cam thay khong an toan xin hay dung lai","premium","say-first","Use this during rides, stations, pickups, or route changes when the trip could go sideways.","","i feel unsafe, please stop|i feel unsafe please stop","","planned","ðŸš•","autonomous-500 cleanup historical source-lane record: Getting Around / Transport Problems & Recovery / keep_as_is; selected as premium fill in the historical lane; current live Viet seam already covers this row","approved"
"v500-tran-i-left-something-in-the-car","transport","v500-tran-i-left-something-in-the-car","I left something in the car","Use this when you need to explain that i left something in the car.","v500-tran-i-left-something-in-the-car","I left something in the car","TÃ´i Ä‘á»ƒ quÃªn thá»© gÃ¬ Ä‘Ã³ trong xe","TÃ´i Ä‘á»ƒ quÃªn thá»© gÃ¬ Ä‘Ã³ trong xe","Toi de quen thu gi do trong xe","premium","say-first","Use this during rides, stations, pickups, or route changes when the trip could go sideways.","","i left something in the car","","planned","ðŸš•","autonomous-500 cleanup historical source-lane record: Getting Around / Transport Problems & Recovery / keep_as_is; selected as premium fill in the historical lane; current live Viet seam already covers this row","approved"
