heroImageName,pageID,title,profile,assetPath,sourceOwnership
HeroCityHoianPlaceJapaneseBridge,viet-family-city-hoian-place-japanese-bridge,Chùa Cầu / Japanese Covered Bridge,landmark,native-ios/Resources/Assets.xcassets/HeroCityHoianPlaceJapaneseBridge.imageset/hero-city-hoian-place-japanese-bridge.png,app-owned generated illustration
HeroCityHoianPlaceKimBongCarpentryVillage,viet-family-city-hoian-place-kim-bong-carpentry-village,Làng mộc Kim Bồng / Kim Bong Carpentry Village,landmark,native-ios/Resources/Assets.xcassets/HeroCityHoianPlaceKimBongCarpentryVillage.imageset/hero-city-hoian-place-kim-bong-carpentry-village.png,app-owned generated illustration
HeroCityHoianPlaceMarket,viet-family-city-hoian-place-market,Chợ Hội An / Hoi An Market,landmark,native-ios/Resources/Assets.xcassets/HeroCityHoianPlaceMarket.imageset/hero-city-hoian-place-market.png,app-owned generated illustration
HeroCityHoianPlaceMemoriesLand,viet-family-city-hoian-place-memories-land,Đảo Ký ức Hội An / Hoi An Memories Land,landmark,native-ios/Resources/Assets.xcassets/HeroCityHoianPlaceMemoriesLand.imageset/hero-city-hoian-place-memories-land.png,app-owned generated illustration
HeroCityHoianPlaceMorningGlory,viet-family-city-hoian-place-morning-glory,Morning Glory Hội An / Morning Glory Hoi An,restaurant,native-ios/Resources/Assets.xcassets/HeroCityHoianPlaceMorningGlory.imageset/hero-city-hoian-place-morning-glory.png,app-owned generated illustration
HeroCityHoianPlaceMySonSanctuary,viet-family-city-hoian-place-my-son-sanctuary,Thánh địa Mỹ Sơn / My Son Sanctuary,landmark,native-ios/Resources/Assets.xcassets/HeroCityHoianPlaceMySonSanctuary.imageset/hero-city-hoian-place-my-son-sanctuary.png,app-owned generated illustration
HeroCityHoianPlaceNguyenHoangNightMarket,viet-family-city-hoian-place-nguyen-hoang-night-market,Chợ đêm Nguyễn Hoàng / Nguyen Hoang Night Market,landmark,native-ios/Resources/Assets.xcassets/HeroCityHoianPlaceNguyenHoangNightMarket.imageset/hero-city-hoian-place-nguyen-hoang-night-market.png,app-owned generated illustration
HeroCityHoianPlaceNightMarket,viet-family-city-hoian-place-night-market,Chợ đêm Hội An / Hoi An Night Market,landmark,native-ios/Resources/Assets.xcassets/HeroCityHoianPlaceNightMarket.imageset/hero-city-hoian-place-night-market.png,app-owned generated illustration
HeroCityHoianPlacePreciousHeritageMuseum,viet-family-city-hoian-place-precious-heritage-museum,Bảo tàng Di sản Vô giá / Precious Heritage Museum,landmark,native-ios/Resources/Assets.xcassets/HeroCityHoianPlacePreciousHeritageMuseum.imageset/hero-city-hoian-place-precious-heritage-museum.png,app-owned generated illustration
HeroCityHoianPlaceQuanCongTemple,viet-family-city-hoian-place-quan-cong-temple,Miếu Quan Công / Quan Cong Temple,landmark,native-ios/Resources/Assets.xcassets/HeroCityHoianPlaceQuanCongTemple.imageset/hero-city-hoian-place-quan-cong-temple.png,app-owned generated illustration
HeroCityHoianPlaceReachOutTeaHouse,viet-family-city-hoian-place-reach-out-tea-house,Reaching Out Tea House / Reaching Out Tea House,landmark,native-ios/Resources/Assets.xcassets/HeroCityHoianPlaceReachOutTeaHouse.imageset/hero-city-hoian-place-reach-out-tea-house.png,app-owned generated illustration
HeroCityHoianPlaceTanKyOldHouse,viet-family-city-hoian-place-tan-ky-old-house,Nhà cổ Tấn Ký / Tan Ky Old House,landmark,native-ios/Resources/Assets.xcassets/HeroCityHoianPlaceTanKyOldHouse.imageset/hero-city-hoian-place-tan-ky-old-house.png,app-owned generated illustration
HeroCityHoianPlaceThanhHa,viet-family-city-hoian-place-thanh-ha,Làng gốm Thanh Hà / Thanh Ha Pottery Village,landmark,native-ios/Resources/Assets.xcassets/HeroCityHoianPlaceThanhHa.imageset/hero-city-hoian-place-thanh-ha.png,app-owned generated illustration
HeroCityHoianPlaceThuBonRiver,viet-family-city-hoian-place-thu-bon-river,Sông Thu Bồn / Thu Bon River,landmark,native-ios/Resources/Assets.xcassets/HeroCityHoianPlaceThuBonRiver.imageset/hero-city-hoian-place-thu-bon-river.png,app-owned generated illustration
HeroCityHoianPlaceTraQue,viet-family-city-hoian-place-tra-que,Làng rau Trà Quế / Tra Que Vegetable Village,landmark,native-ios/Resources/Assets.xcassets/HeroCityHoianPlaceTraQue.imageset/hero-city-hoian-place-tra-que.png,app-owned generated illustration
HeroCityHoianPlaceTranPhuStreet,viet-family-city-hoian-place-tran-phu-street,Phố Trần Phú / Tran Phu Street,streetDriver,native-ios/Resources/Assets.xcassets/HeroCityHoianPlaceTranPhuStreet.imageset/hero-city-hoian-place-tran-phu-street.png,app-owned generated illustration
HeroCityHuePlaceAnCuuMarket,viet-family-city-hue-place-an-cuu-market,Chợ An Cựu / An Cuu Market,landmark,native-ios/Resources/Assets.xcassets/HeroCityHuePlaceAnCuuMarket.imageset/hero-city-hue-place-an-cuu-market.png,app-owned generated illustration
HeroCityHuePlaceAnDinhPalace,viet-family-city-hue-place-an-dinh-palace,Cung An Định / An Dinh Palace,landmark,native-ios/Resources/Assets.xcassets/HeroCityHuePlaceAnDinhPalace.imageset/hero-city-hue-place-an-dinh-palace.png,app-owned generated illustration
HeroCityHuePlaceBaoVinhAncientTown,viet-family-city-hue-place-bao-vinh-ancient-town,Phố cổ Bao Vinh / Bao Vinh Ancient Town,landmark,native-ios/Resources/Assets.xcassets/HeroCityHuePlaceBaoVinhAncientTown.imageset/hero-city-hue-place-bao-vinh-ancient-town.png,app-owned generated illustration
HeroCityHuePlaceBunBoCity,viet-family-city-hue-place-bun-bo-city,Bún bò Huế / Bun bo Hue,dish,native-ios/Resources/Assets.xcassets/HeroCityHuePlaceBunBoCity.imageset/hero-city-hue-place-bun-bo-city.png,app-owned generated illustration
HeroCityHuePlaceDongBa,viet-family-city-hue-place-dong-ba,Chợ Đông Ba / Dong Ba Market,landmark,native-ios/Resources/Assets.xcassets/HeroCityHuePlaceDongBa.imageset/hero-city-hue-place-dong-ba.png,app-owned generated illustration
HeroCityHuePlaceDongKhanhTomb,viet-family-city-hue-place-dong-khanh-tomb,Lăng Đồng Khánh / Tomb of Dong Khanh,landmark,native-ios/Resources/Assets.xcassets/HeroCityHuePlaceDongKhanhTomb.imageset/hero-city-hue-place-dong-khanh-tomb.png,app-owned generated illustration
HeroCityHuePlaceGiaLongTomb,viet-family-city-hue-place-gia-long-tomb,Lăng Gia Long / Tomb of Gia Long,landmark,native-ios/Resources/Assets.xcassets/HeroCityHuePlaceGiaLongTomb.imageset/hero-city-hue-place-gia-long-tomb.png,app-owned generated illustration
HeroCityHuePlaceHenIsland,viet-family-city-hue-place-hen-island,Cồn Hến / Hen Island,landmark,native-ios/Resources/Assets.xcassets/HeroCityHuePlaceHenIsland.imageset/hero-city-hue-place-hen-island.png,app-owned generated illustration
HeroCityHuePlaceHuyenTranTemple,viet-family-city-hue-place-huyen-tran-temple,Đền Huyền Trân / Huyen Tran Princess Temple,landmark,native-ios/Resources/Assets.xcassets/HeroCityHuePlaceHuyenTranTemple.imageset/hero-city-hue-place-huyen-tran-temple.png,app-owned generated illustration
HeroCityHuePlaceImperialCity,viet-family-city-hue-place-imperial-city,Kinh thành Huế / Hue Imperial City,landmark,native-ios/Resources/Assets.xcassets/HeroCityHuePlaceImperialCity.imageset/hero-city-hue-place-imperial-city.png,app-owned generated illustration
HeroCityHuePlaceKhaiDinhTomb,viet-family-city-hue-place-khai-dinh-tomb,Lăng Khải Định / Tomb of Khai Dinh,landmark,native-ios/Resources/Assets.xcassets/HeroCityHuePlaceKhaiDinhTomb.imageset/hero-city-hue-place-khai-dinh-tomb.png,app-owned generated illustration
HeroCityHuePlaceLeLoiStreet,viet-family-city-hue-place-le-loi-street,Đường Lê Lợi / Le Loi Street,streetDriver,native-ios/Resources/Assets.xcassets/HeroCityHuePlaceLeLoiStreet.imageset/hero-city-hue-place-le-loi-street.png,app-owned generated illustration
HeroCityHuePlaceLesJardins,viet-family-city-hue-place-les-jardins,Les Jardins de la Carambole / Les Jardins de la Carambole,restaurant,native-ios/Resources/Assets.xcassets/HeroCityHuePlaceLesJardins.imageset/hero-city-hue-place-les-jardins.png,app-owned generated illustration
HeroCityHuePlaceMinhMangTomb,viet-family-city-hue-place-minh-mang-tomb,Lăng Minh Mạng / Tomb of Minh Mang,landmark,native-ios/Resources/Assets.xcassets/HeroCityHuePlaceMinhMangTomb.imageset/hero-city-hue-place-minh-mang-tomb.png,app-owned generated illustration
HeroCityHuePlaceNguyenDinhChieuStreet,viet-family-city-hue-place-nguyen-dinh-chieu-street,Phố đi bộ Nguyễn Đình Chiểu / Nguyen Dinh Chieu Walking Street,streetDriver,native-ios/Resources/Assets.xcassets/HeroCityHuePlaceNguyenDinhChieuStreet.imageset/hero-city-hue-place-nguyen-dinh-chieu-street.png,app-owned generated illustration
HeroCityHuePlaceNightMarket,viet-family-city-hue-place-night-market,Chợ đêm Huế / Hue Night Market,landmark,native-ios/Resources/Assets.xcassets/HeroCityHuePlaceNightMarket.imageset/hero-city-hue-place-night-market.png,app-owned generated illustration
HeroCityHuePlacePerfumeRiver,viet-family-city-hue-place-perfume-river,Sông Hương / Perfume River,landmark,native-ios/Resources/Assets.xcassets/HeroCityHuePlacePerfumeRiver.imageset/hero-city-hue-place-perfume-river.png,app-owned generated illustration
HeroCityHuePlacePhuBaiAirport,viet-family-city-hue-place-phu-bai-airport,Sân bay Phú Bài / Phu Bai Airport,landmark,native-ios/Resources/Assets.xcassets/HeroCityHuePlacePhuBaiAirport.imageset/hero-city-hue-place-phu-bai-airport.png,app-owned generated illustration
HeroCityHuePlacePhuCamChurch,viet-family-city-hue-place-phu-cam-church,Nhà thờ Phủ Cam / Phu Cam Church,landmark,native-ios/Resources/Assets.xcassets/HeroCityHuePlacePhuCamChurch.imageset/hero-city-hue-place-phu-cam-church.png,app-owned generated illustration
HeroCityHuePlaceRailwayStation,viet-family-city-hue-place-railway-station,Ga Huế / Hue Railway Station,landmark,native-ios/Resources/Assets.xcassets/HeroCityHuePlaceRailwayStation.imageset/hero-city-hue-place-railway-station.png,app-owned generated illustration
HeroCityHuePlaceRoyalAntiquitiesMuseum,viet-family-city-hue-place-royal-antiquities-museum,Bảo tàng Cổ vật Cung đình Huế / Hue Museum of Royal Antiquities,landmark,native-ios/Resources/Assets.xcassets/HeroCityHuePlaceRoyalAntiquitiesMuseum.imageset/hero-city-hue-place-royal-antiquities-museum.png,app-owned generated illustration
HeroCityHuePlaceThanhToanBridge,viet-family-city-hue-place-thanh-toan-bridge,Cầu ngói Thanh Toàn / Thanh Toan Bridge,landmark,native-ios/Resources/Assets.xcassets/HeroCityHuePlaceThanhToanBridge.imageset/hero-city-hue-place-thanh-toan-bridge.png,app-owned generated illustration
HeroCityHuePlaceThienMu,viet-family-city-hue-place-thien-mu,Chùa Thiên Mụ / Thien Mu Pagoda,landmark,native-ios/Resources/Assets.xcassets/HeroCityHuePlaceThienMu.imageset/hero-city-hue-place-thien-mu.png,app-owned generated illustration
HeroCityHuePlaceThuyXuanIncenseVillage,viet-family-city-hue-place-thuy-xuan-incense-village,Làng hương Thủy Xuân / Thuy Xuan Incense Village,landmark,native-ios/Resources/Assets.xcassets/HeroCityHuePlaceThuyXuanIncenseVillage.imageset/hero-city-hue-place-thuy-xuan-incense-village.png,app-owned generated illustration
HeroCityHuePlaceTruongTien,viet-family-city-hue-place-truong-tien,Cầu Trường Tiền / Truong Tien Bridge,landmark,native-ios/Resources/Assets.xcassets/HeroCityHuePlaceTruongTien.imageset/hero-city-hue-place-truong-tien.png,app-owned generated illustration
HeroCityHuePlaceTuDucTomb,viet-family-city-hue-place-tu-duc-tomb,Lăng Tự Đức / Tomb of Tu Duc,landmark,native-ios/Resources/Assets.xcassets/HeroCityHuePlaceTuDucTomb.imageset/hero-city-hue-place-tu-duc-tomb.png,app-owned generated illustration
HeroCityHuePlaceTuHieuPagoda,viet-family-city-hue-place-tu-hieu-pagoda,Chùa Từ Hiếu / Tu Hieu Pagoda,landmark,native-ios/Resources/Assets.xcassets/HeroCityHuePlaceTuHieuPagoda.imageset/hero-city-hue-place-tu-hieu-pagoda.png,app-owned generated illustration
HeroCityHuePlaceVongCanhHill,viet-family-city-hue-place-vong-canh-hill,Đồi Vọng Cảnh / Vong Canh Hill,landmark,native-ios/Resources/Assets.xcassets/HeroCityHuePlaceVongCanhHill.imageset/hero-city-hue-place-vong-canh-hill.png,app-owned generated illustration
HeroCityHuePlaceWalkingStreet,viet-family-city-hue-place-walking-street,Phố đi bộ Huế / Hue Walking Street,streetDriver,native-ios/Resources/Assets.xcassets/HeroCityHuePlaceWalkingStreet.imageset/hero-city-hue-place-walking-street.png,app-owned generated illustration
HeroCityHanoi,browse-city-hanoi,Hanoi,cityHub,native-ios/Resources/Assets.xcassets/HeroCityHanoi.imageset/hero-city-hanoi.png,app-owned generated illustration
HeroCityHcmc,browse-city-hcmc,Saigon / Ho Chi Minh City,cityHub,native-ios/Resources/Assets.xcassets/HeroCityHcmc.imageset/hero-city-hcmc.png,app-owned generated illustration
HeroCityDanang,browse-city-danang,Da Nang,cityHub,native-ios/Resources/Assets.xcassets/HeroCityDanang.imageset/hero-city-danang.png,app-owned generated illustration
HeroCityHoian,browse-city-hoian,Hoi An,cityHub,native-ios/Resources/Assets.xcassets/HeroCityHoian.imageset/hero-city-hoian.png,app-owned generated illustration
HeroCityHue,browse-city-hue,Hue,cityHub,native-ios/Resources/Assets.xcassets/HeroCityHue.imageset/hero-city-hue.png,app-owned generated illustration
HeroCountryVietnam,category:country_vietnam,HeroCountryVietnam,categoryHub,native-ios/Resources/Assets.xcassets/HeroCountryVietnam.imageset/hero-country-vietnam.png,app-owned generated illustration
HeroCategoryGreetings,category:category_greetings,HeroCategoryGreetings,categoryHub,native-ios/Resources/Assets.xcassets/HeroCategoryGreetings.imageset/hero-category-greetings.png,app-owned generated illustration
HeroCategoryEssentials,category:category_essentials,HeroCategoryEssentials,categoryHub,native-ios/Resources/Assets.xcassets/HeroCategoryEssentials.imageset/hero-category-essentials.png,app-owned generated illustration
HeroCategoryEmergency,category:category_emergency,HeroCategoryEmergency,categoryHub,native-ios/Resources/Assets.xcassets/HeroCategoryEmergency.imageset/hero-category-emergency.png,app-owned generated illustration
HeroCategoryQuestions,category:category_questions,HeroCategoryQuestions,categoryHub,native-ios/Resources/Assets.xcassets/HeroCategoryQuestions.imageset/hero-category-questions.png,app-owned generated illustration
HeroCategoryPoliteRepair,category:category_polite_repair,HeroCategoryPoliteRepair,categoryHub,native-ios/Resources/Assets.xcassets/HeroCategoryPoliteRepair.imageset/hero-category-polite-repair.png,app-owned generated illustration
HeroCategoryFirstDay,category:category_first_day,HeroCategoryFirstDay,categoryHub,native-ios/Resources/Assets.xcassets/HeroCategoryFirstDay.imageset/hero-category-first-day.png,app-owned generated illustration
HeroCategoryGettingAround,category:category_getting_around,HeroCategoryGettingAround,categoryHub,native-ios/Resources/Assets.xcassets/HeroCategoryGettingAround.imageset/hero-category-getting-around.png,app-owned generated illustration
HeroCompactPhraseMasthead,category:compact_phrase,HeroCompactPhraseMasthead,categoryHub,native-ios/Resources/Assets.xcassets/HeroCompactPhraseMasthead.imageset/hero-compact-phrase-masthead.png,app-owned generated illustration
